No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.720,1,44
2,00:00:01.760,00:00:02.880,45,73
3,00:00:02.920,00:00:08.600,74,216
4,00:00:08.640,00:00:10.400,217,261
5,00:00:10.440,00:00:19.520,262,489
6,00:00:19.560,00:00:20.520,490,514
7,00:00:20.560,00:00:26.320,515,659
8,00:00:26.360,00:00:28.480,660,713
9,00:00:28.520,00:00:35.600,714,891
10,00:00:35.640,00:00:37.040,892,927
11,00:00:37.080,00:00:39.040,928,977
12,00:00:39.080,00:00:44.520,978,1114
13,00:00:44.560,00:00:47.480,1115,1188
14,00:00:47.520,00:00:50.200,1189,1256
15,00:00:50.240,00:00:52.240,1257,1307
16,00:00:52.280,00:00:53.880,1308,1348
17,00:00:53.920,00:01:01.320,1349,1534
18,00:01:01.360,00:01:02.440,1535,1562
19,00:01:02.480,00:01:04.560,1563,1615
20,00:01:04.600,00:01:05.560,1616,1640
21,00:01:05.600,00:01:08.240,1641,1707
22,00:01:08.280,00:01:10.440,1708,1762
23,00:01:10.480,00:01:12.520,1763,1814
24,00:01:12.560,00:01:14.400,1815,1861
25,00:01:14.440,00:01:16.360,1862,1910
26,00:01:16.400,00:01:22.040,1911,2052
27,00:01:22.080,00:01:25.560,2053,2140
28,00:01:25.600,00:01:27.080,2141,2178
29,00:01:27.120,00:01:32.280,2179,2308
30,00:01:32.320,00:01:34.640,2309,2367
31,00:01:34.680,00:01:36.440,2368,2412
32,00:01:36.480,00:01:37.600,2413,2441
33,00:01:37.640,00:01:47.680,2442,2693
34,00:01:47.720,00:01:49.240,2694,2732
35,00:01:49.280,00:01:52.960,2733,2825
36,00:01:53.000,00:01:54.880,2826,2873
37,00:01:54.920,00:01:57.320,2874,2934
38,00:01:57.360,00:02:07.960,2935,3200
39,00:02:08.000,00:02:16.720,3201,3419
40,00:02:16.760,00:02:22.160,3420,3555
41,00:02:22.200,00:02:25.160,3556,3630
42,00:02:25.200,00:02:29.360,3631,3735
43,00:02:29.400,00:02:31.680,3736,3793
44,00:02:31.720,00:02:33.960,3794,3850
45,00:02:34.000,00:02:35.320,3851,3884
46,00:02:35.360,00:02:37.240,3885,3932
47,00:02:37.280,00:02:41.040,3933,4027
48,00:02:41.080,00:02:42.880,4028,4073
49,00:02:42.920,00:02:45.480,4074,4138
50,00:02:45.520,00:02:47.120,4139,4179
51,00:02:47.160,00:02:53.120,4180,4329
52,00:02:53.160,00:02:54.240,4330,4357
53,00:02:54.280,00:02:56.360,4358,4410
54,00:02:56.400,00:03:00.680,4411,4518
55,00:03:00.720,00:03:03.480,4519,4588
56,00:03:03.520,00:03:05.720,4589,4644
57,00:03:05.760,00:03:08.320,4645,4709
58,00:03:08.360,00:03:14.840,4710,4872
59,00:03:14.880,00:03:16.560,4873,4915
60,00:03:16.600,00:03:21.840,4916,5047
61,00:03:21.880,00:03:25.040,5048,5127
62,00:03:25.080,00:03:27.240,5128,5182
63,00:03:27.280,00:03:31.600,5183,5291
64,00:03:31.640,00:03:32.840,5292,5322
65,00:03:32.880,00:03:37.200,5323,5431
66,00:03:37.240,00:03:38.320,5432,5459
67,00:03:38.360,00:03:39.640,5460,5492
68,00:03:39.680,00:03:41.440,5493,5537
69,00:03:41.480,00:03:43.680,5538,5593
70,00:03:43.720,00:03:46.160,5594,5655
71,00:03:46.200,00:03:49.560,5656,5740
72,00:03:49.600,00:04:06.200,5741,6156
73,00:04:06.240,00:04:08.000,6157,6201
74,00:04:08.040,00:04:10.360,6202,6260
75,00:04:10.400,00:04:15.440,6261,6387
