No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:06.520,1,164
2,00:00:06.560,00:00:10.160,165,255
3,00:00:10.200,00:00:24.480,256,613
4,00:00:24.520,00:00:25.800,614,646
5,00:00:25.840,00:00:28.400,647,711
6,00:00:28.440,00:00:30.600,712,766
7,00:00:30.640,00:00:32.120,767,804
8,00:00:32.160,00:00:34.320,805,859
9,00:00:34.360,00:00:37.560,860,940
10,00:00:37.600,00:00:39.240,941,982
11,00:00:39.280,00:00:52.320,983,1309
12,00:00:52.360,00:00:54.880,1310,1373
13,00:00:54.920,00:01:03.480,1374,1588
