No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.880,1,23
2,00:00:00.920,00:00:02.880,24,73
3,00:00:02.920,00:00:10.480,74,263
4,00:00:10.520,00:00:14.400,264,361
5,00:00:14.440,00:00:19.320,362,484
6,00:00:19.360,00:00:22.800,485,571
7,00:00:22.840,00:00:26.840,572,672
8,00:00:26.880,00:00:31.760,673,795
9,00:00:31.800,00:00:33.640,796,842
10,00:00:33.680,00:00:36.800,843,921
11,00:00:36.840,00:00:41.040,922,1027
12,00:00:41.080,00:00:43.320,1028,1084
13,00:00:43.360,00:00:47.920,1085,1199
14,00:00:47.960,00:00:52.400,1200,1311
15,00:00:52.440,00:00:59.920,1312,1499
16,00:00:59.960,00:01:01.920,1500,1549
17,00:01:01.960,00:01:03.720,1550,1594
18,00:01:03.760,00:01:07.160,1595,1680
19,00:01:07.200,00:01:09.040,1681,1727
20,00:01:09.080,00:01:11.080,1728,1778
21,00:01:11.120,00:01:15.640,1779,1892
22,00:01:15.680,00:01:21.320,1893,2034
23,00:01:21.360,00:01:23.160,2035,2080
24,00:01:23.200,00:01:44.080,2081,2603
25,00:01:44.120,00:01:52.600,2604,2816
26,00:01:52.640,00:01:56.920,2817,2924
27,00:01:56.960,00:02:00.600,2925,3016
28,00:02:00.640,00:02:03.880,3017,3098
29,00:02:03.920,00:02:07.440,3099,3187
30,00:02:07.480,00:02:32.240,3188,3807
31,00:02:32.280,00:02:35.680,3808,3893
32,00:02:35.720,00:02:41.280,3894,4033
33,00:02:41.320,00:02:47.600,4034,4191
