No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:09.000,1,226
2,00:00:09.040,00:00:18.240,227,457
3,00:00:18.280,00:00:21.520,458,539
4,00:00:21.560,00:00:24.320,540,609
5,00:00:24.360,00:00:28.800,610,721
6,00:00:28.840,00:00:28.840,722,722
7,00:00:28.880,00:00:31.600,723,791
8,00:00:31.640,00:00:34.120,792,854
9,00:00:34.160,00:00:35.120,855,879
10,00:00:35.160,00:00:37.160,880,930
11,00:00:37.200,00:00:39.600,931,991
12,00:00:39.640,00:00:43.360,992,1085
13,00:00:43.400,00:00:47.360,1086,1185
14,00:00:47.400,00:00:47.400,1186,1186
15,00:00:47.440,00:00:47.800,1187,1196
16,00:00:47.840,00:00:54.080,1197,1353
17,00:00:54.120,00:00:59.760,1354,1495
18,00:00:59.800,00:01:04.120,1496,1604
19,00:01:04.160,00:01:18.520,1605,1964
20,00:01:18.560,00:01:21.960,1965,2050
21,00:01:22.000,00:01:27.240,2051,2182
22,00:01:27.280,00:01:29.240,2183,2232
23,00:01:29.280,00:01:29.280,2233,2233
24,00:01:29.320,00:01:35.360,2234,2385
25,00:01:35.400,00:01:38.800,2386,2471
26,00:01:38.840,00:01:41.840,2472,2547
27,00:01:41.880,00:01:41.880,2548,2548
28,00:01:41.920,00:01:47.120,2549,2679
29,00:01:47.160,00:01:56.080,2680,2903
30,00:01:56.120,00:02:02.440,2904,3062
31,00:02:02.480,00:02:09.000,3063,3226
32,00:02:09.040,00:02:10.440,3227,3262
33,00:02:10.480,00:02:14.680,3263,3368
34,00:02:14.720,00:02:18.560,3369,3465
35,00:02:18.600,00:02:24.040,3466,3602
36,00:02:24.080,00:02:27.280,3603,3683
37,00:02:27.320,00:02:30.880,3684,3773
38,00:02:30.920,00:02:35.040,3774,3877
39,00:02:35.080,00:02:38.040,3878,3952
40,00:02:38.080,00:02:43.320,3953,4084
41,00:02:43.360,00:02:45.600,4085,4141
42,00:02:45.640,00:02:48.600,4142,4216
43,00:02:48.640,00:02:51.240,4217,4282
44,00:02:51.280,00:02:57.560,4283,4440
45,00:02:57.600,00:03:02.160,4441,4555
46,00:03:02.200,00:03:10.440,4556,4762
47,00:03:10.480,00:03:10.720,4763,4769
