No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.160,1,55
2,00:00:02.200,00:00:21.560,56,540
3,00:00:21.600,00:00:26.280,541,658
4,00:00:26.320,00:00:28.720,659,719
5,00:00:28.760,00:00:33.080,720,828
6,00:00:33.120,00:00:35.960,829,900
7,00:00:36.000,00:00:36.480,901,913
8,00:00:36.520,00:00:38.760,914,970
9,00:00:38.800,00:00:39.240,971,982
10,00:00:39.280,00:00:42.560,983,1065
11,00:00:42.600,00:00:43.040,1066,1077
12,00:00:43.080,00:00:46.760,1078,1170
13,00:00:46.800,00:00:47.680,1171,1193
14,00:00:47.720,00:00:54.760,1194,1370
15,00:00:54.800,00:00:58.240,1371,1457
16,00:00:58.280,00:01:04.240,1458,1607
17,00:01:04.280,00:01:07.160,1608,1680
18,00:01:07.200,00:01:11.320,1681,1784
19,00:01:11.360,00:01:14.440,1785,1862
20,00:01:14.480,00:01:19.480,1863,1988
21,00:01:19.520,00:01:28.760,1989,2220
22,00:01:28.800,00:01:31.240,2221,2282
23,00:01:31.280,00:01:37.400,2283,2436
24,00:01:37.440,00:01:41.840,2437,2547
25,00:01:41.880,00:01:46.560,2548,2665
26,00:01:46.600,00:01:49.600,2666,2741
27,00:01:49.640,00:01:50.040,2742,2752
28,00:01:50.080,00:01:50.080,2753,2753
29,00:01:50.120,00:02:00.520,2754,3014
30,00:02:00.560,00:02:03.480,3015,3088
31,00:02:03.520,00:02:16.720,3089,3419
32,00:02:16.760,00:02:22.600,3420,3566
33,00:02:22.640,00:02:29.400,3567,3736
34,00:02:29.440,00:02:36.720,3737,3919
35,00:02:36.760,00:02:44.400,3920,4111
36,00:02:44.440,00:02:51.680,4112,4293
37,00:02:51.720,00:02:57.960,4294,4450
38,00:02:58.000,00:03:03.440,4451,4587
39,00:03:03.480,00:03:05.440,4588,4637
40,00:03:05.480,00:03:16.680,4638,4918
41,00:03:16.720,00:03:26.920,4919,5174
