No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.400,1,11
2,00:00:00.440,00:00:03.200,12,81
3,00:00:03.240,00:00:06.440,82,162
4,00:00:06.480,00:00:09.480,163,238
5,00:00:09.520,00:00:12.320,239,309
6,00:00:12.360,00:00:16.200,310,406
7,00:00:16.240,00:00:19.720,407,494
8,00:00:19.760,00:00:22.040,495,552
9,00:00:22.080,00:00:25.760,553,645
10,00:00:25.800,00:00:28.320,646,709
11,00:00:28.360,00:00:30.600,710,766
12,00:00:30.640,00:00:38.080,767,953
13,00:00:38.120,00:00:49.040,954,1227
14,00:00:49.080,00:00:51.920,1228,1299
15,00:00:51.960,00:00:56.080,1300,1403
16,00:00:56.120,00:01:01.560,1404,1540
17,00:01:01.600,00:01:09.960,1541,1750
18,00:01:10.000,00:01:16.400,1751,1911
19,00:01:16.440,00:01:20.800,1912,2021
20,00:01:20.840,00:01:26.480,2022,2163
21,00:01:26.520,00:01:31.160,2164,2280
22,00:01:31.200,00:01:34.800,2281,2371
23,00:01:34.840,00:01:39.040,2372,2477
24,00:01:39.080,00:01:41.160,2478,2530
25,00:01:41.200,00:01:48.400,2531,2711
26,00:01:48.440,00:01:51.640,2712,2792
27,00:01:51.680,00:01:55.800,2793,2896
28,00:01:55.840,00:02:01.120,2897,3029
29,00:02:01.160,00:02:05.520,3030,3139
30,00:02:05.560,00:02:08.560,3140,3215
31,00:02:08.600,00:02:10.880,3216,3273
32,00:02:10.920,00:02:12.000,3274,3301
33,00:02:12.040,00:02:13.560,3302,3340
