No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.960,1,75
2,00:00:03.000,00:00:04.800,76,121
3,00:00:04.840,00:00:08.160,122,205
4,00:00:08.200,00:00:09.000,206,226
5,00:00:09.040,00:00:10.440,227,262
6,00:00:10.480,00:00:13.600,263,341
7,00:00:13.640,00:00:15.160,342,380
8,00:00:15.200,00:00:17.160,381,430
9,00:00:17.200,00:00:18.760,431,470
10,00:00:18.800,00:00:19.840,471,497
11,00:00:19.880,00:00:22.240,498,557
12,00:00:22.280,00:00:23.920,558,599
13,00:00:23.960,00:00:25.760,600,645
14,00:00:25.800,00:00:27.080,646,678
15,00:00:27.120,00:00:29.000,679,726
16,00:00:29.040,00:00:30.600,727,766
17,00:00:30.640,00:00:32.880,767,823
18,00:00:32.920,00:00:35.160,824,880
19,00:00:35.200,00:00:37.160,881,930
20,00:00:37.200,00:00:38.640,931,967
21,00:00:38.680,00:00:39.640,968,992
22,00:00:39.680,00:00:42.320,993,1059
23,00:00:42.360,00:00:44.680,1060,1118
24,00:00:44.720,00:00:47.520,1119,1189
25,00:00:47.560,00:00:49.920,1190,1249
26,00:00:49.960,00:00:52.000,1250,1301
27,00:00:52.040,00:00:53.480,1302,1338
28,00:00:53.520,00:00:54.920,1339,1374
29,00:00:54.960,00:00:59.640,1375,1492
