No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.480,1,63
2,00:00:02.520,00:00:04.920,64,124
3,00:00:04.960,00:00:06.840,125,172
4,00:00:06.880,00:00:08.800,173,221
5,00:00:08.840,00:00:11.520,222,289
6,00:00:11.560,00:00:12.920,290,324
7,00:00:12.960,00:00:14.240,325,357
8,00:00:14.280,00:00:15.400,358,386
9,00:00:15.440,00:00:17.000,387,426
10,00:00:17.040,00:00:18.680,427,468
11,00:00:18.720,00:00:20.680,469,518
12,00:00:20.720,00:00:22.400,519,561
13,00:00:22.440,00:00:24.400,562,611
14,00:00:24.440,00:00:25.720,612,644
15,00:00:25.760,00:00:27.840,645,697
16,00:00:27.880,00:00:29.200,698,731
17,00:00:29.240,00:00:30.160,732,755
18,00:00:30.200,00:00:32.080,756,803
19,00:00:32.120,00:00:33.240,804,832
20,00:00:33.280,00:00:35.360,833,885
21,00:00:35.400,00:00:38.040,886,952
22,00:00:38.080,00:00:38.320,953,959
23,00:00:38.360,00:00:40.800,960,1021
24,00:00:40.840,00:00:43.640,1022,1092
25,00:00:43.680,00:00:44.720,1093,1119
26,00:00:44.760,00:00:47.120,1120,1179
