No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.640,1,42
2,00:00:01.680,00:00:04.320,43,109
3,00:00:04.360,00:00:05.960,110,150
4,00:00:06.000,00:00:08.040,151,202
5,00:00:08.080,00:00:09.680,203,243
6,00:00:09.720,00:00:11.120,244,279
7,00:00:11.160,00:00:13.240,280,332
8,00:00:13.280,00:00:14.520,333,364
9,00:00:14.560,00:00:15.840,365,397
10,00:00:15.880,00:00:18.720,398,469
11,00:00:18.760,00:00:20.080,470,503
12,00:00:20.120,00:00:21.560,504,540
13,00:00:21.600,00:00:22.480,541,563
14,00:00:22.520,00:00:23.360,564,585
15,00:00:23.400,00:00:24.800,586,621
16,00:00:24.840,00:00:26.960,622,675
17,00:00:27.000,00:00:30.080,676,753
18,00:00:30.120,00:00:31.880,754,798
19,00:00:31.920,00:00:34.160,799,855
20,00:00:34.200,00:00:35.640,856,892
21,00:00:35.680,00:00:38.920,893,974
22,00:00:38.960,00:00:40.600,975,1016
23,00:00:40.640,00:00:41.520,1017,1039
24,00:00:41.560,00:00:42.680,1040,1068
25,00:00:42.720,00:00:43.840,1069,1097
26,00:00:43.880,00:00:45.240,1098,1132
27,00:00:45.280,00:00:47.240,1133,1182
28,00:00:47.280,00:00:48.640,1183,1217
29,00:00:48.680,00:00:50.200,1218,1256
