No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.960,1,75
2,00:00:03.000,00:00:03.840,76,97
3,00:00:03.880,00:00:05.040,98,127
4,00:00:05.080,00:00:08.440,128,212
5,00:00:08.480,00:00:10.040,213,252
6,00:00:10.080,00:00:11.040,253,277
7,00:00:11.080,00:00:13.120,278,329
8,00:00:13.160,00:00:14.200,330,356
9,00:00:14.240,00:00:17.040,357,427
10,00:00:17.080,00:00:18.800,428,471
11,00:00:18.840,00:00:20.400,472,511
12,00:00:20.440,00:00:25.440,512,637
13,00:00:25.480,00:00:26.960,638,675
14,00:00:27.000,00:00:28.240,676,707
15,00:00:28.280,00:00:32.080,708,803
16,00:00:32.120,00:00:34.760,804,870
17,00:00:34.800,00:00:36.000,871,901
18,00:00:36.040,00:00:39.400,902,986
19,00:00:39.440,00:00:41.600,987,1041
20,00:00:41.640,00:00:42.760,1042,1070
21,00:00:42.800,00:00:45.280,1071,1133
22,00:00:45.320,00:00:46.560,1134,1165
23,00:00:46.600,00:00:46.600,1166,1166
