No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.520,1,39
2,00:00:01.560,00:00:03.000,40,76
3,00:00:03.040,00:00:03.840,77,97
4,00:00:03.880,00:00:06.280,98,158
5,00:00:06.320,00:00:08.760,159,220
6,00:00:08.800,00:00:09.760,221,245
7,00:00:09.800,00:00:11.000,246,276
8,00:00:11.040,00:00:12.680,277,318
9,00:00:12.720,00:00:14.360,319,360
10,00:00:14.400,00:00:15.680,361,393
11,00:00:15.720,00:00:16.680,394,418
12,00:00:16.720,00:00:17.720,419,444
13,00:00:17.760,00:00:18.720,445,469
14,00:00:18.760,00:00:20.480,470,513
15,00:00:20.520,00:00:21.680,514,543
16,00:00:21.720,00:00:23.600,544,591
17,00:00:23.640,00:00:24.840,592,622
18,00:00:24.880,00:00:26.320,623,659
19,00:00:26.360,00:00:28.640,660,717
20,00:00:28.680,00:00:29.720,718,744
21,00:00:29.760,00:00:30.440,745,762
22,00:00:30.480,00:00:31.960,763,800
23,00:00:32.000,00:00:33.200,801,831
24,00:00:33.240,00:00:34.520,832,864
25,00:00:34.560,00:00:35.840,865,897
26,00:00:35.880,00:00:38.640,898,967
27,00:00:38.680,00:00:42.480,968,1063
28,00:00:42.520,00:00:45.040,1064,1127
29,00:00:45.080,00:00:46.960,1128,1175
30,00:00:47.000,00:00:48.640,1176,1217
31,00:00:48.680,00:00:49.600,1218,1241
32,00:00:49.640,00:00:50.480,1242,1263
33,00:00:50.520,00:00:52.000,1264,1301
34,00:00:52.040,00:00:53.760,1302,1345
35,00:00:53.800,00:00:56.280,1346,1408
36,00:00:56.320,00:00:57.920,1409,1449
37,00:00:57.960,00:00:59.680,1450,1493
38,00:00:59.720,00:01:00.600,1494,1516
39,00:01:00.640,00:01:02.000,1517,1551
40,00:01:02.040,00:01:04.360,1552,1610
41,00:01:04.400,00:01:07.160,1611,1680
42,00:01:07.200,00:01:10.640,1681,1767
43,00:01:10.680,00:01:14.640,1768,1867
