No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.480,1,13
2,00:00:00.520,00:00:01.840,14,47
3,00:00:01.880,00:00:09.400,48,236
4,00:00:09.440,00:00:15.240,237,382
5,00:00:15.280,00:00:16.520,383,414
6,00:00:16.560,00:00:17.840,415,447
7,00:00:17.880,00:00:19.120,448,479
8,00:00:19.160,00:00:21.880,480,548
9,00:00:21.920,00:00:23.720,549,594
10,00:00:23.760,00:00:24.880,595,623
11,00:00:24.920,00:00:31.080,624,778
12,00:00:31.120,00:00:39.480,779,988
13,00:00:39.520,00:00:42.440,989,1062
14,00:00:42.480,00:00:46.440,1063,1162
15,00:00:46.480,00:00:48.000,1163,1201
16,00:00:48.040,00:00:53.360,1202,1335
17,00:00:53.400,00:00:58.800,1336,1471
18,00:00:58.840,00:01:01.560,1472,1540
19,00:01:01.600,00:01:03.800,1541,1596
20,00:01:03.840,00:01:12.760,1597,1820
21,00:01:12.800,00:01:15.160,1821,1880
22,00:01:15.200,00:01:17.440,1881,1937
23,00:01:17.480,00:01:23.160,1938,2080
24,00:01:23.200,00:01:24.400,2081,2111
25,00:01:24.440,00:01:29.520,2112,2239
26,00:01:29.560,00:01:31.600,2240,2291
27,00:01:31.640,00:01:36.080,2292,2403
28,00:01:36.120,00:01:37.000,2404,2426
29,00:01:37.040,00:01:39.960,2427,2500
