No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.760,1,70
2,00:00:02.800,00:00:05.320,71,134
3,00:00:05.360,00:00:06.080,135,153
4,00:00:06.120,00:00:07.560,154,190
5,00:00:07.600,00:00:09.160,191,230
6,00:00:09.200,00:00:12.280,231,308
7,00:00:12.320,00:00:14.560,309,365
8,00:00:14.600,00:00:20.560,366,515
9,00:00:20.600,00:00:22.320,516,559
10,00:00:22.360,00:00:26.680,560,668
11,00:00:26.720,00:00:30.320,669,759
12,00:00:30.360,00:00:33.880,760,848
13,00:00:33.920,00:00:38.440,849,962
14,00:00:38.480,00:00:45.040,963,1127
15,00:00:45.080,00:00:46.440,1128,1162
16,00:00:46.480,00:00:54.040,1163,1352
17,00:00:54.080,00:00:55.720,1353,1394
18,00:00:55.760,00:00:58.080,1395,1453
19,00:00:58.120,00:00:59.680,1454,1493
20,00:00:59.720,00:01:02.480,1494,1563
21,00:01:02.520,00:01:03.320,1564,1584
22,00:01:03.360,00:01:04.280,1585,1608
23,00:01:04.320,00:01:08.160,1609,1705
24,00:01:08.200,00:01:10.200,1706,1756
25,00:01:10.240,00:01:10.800,1757,1771
26,00:01:10.840,00:01:15.120,1772,1879
27,00:01:15.160,00:01:16.600,1880,1916
28,00:01:16.640,00:01:17.360,1917,1935
