No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:03.080,1,78
2,00:00:03.120,00:00:05.400,79,136
3,00:00:05.440,00:00:10.160,137,255
4,00:00:10.200,00:00:12.080,256,303
5,00:00:12.120,00:00:14.000,304,351
6,00:00:14.040,00:00:15.760,352,395
7,00:00:15.800,00:00:32.560,396,815
8,00:00:32.600,00:00:34.960,816,875
9,00:00:35.000,00:00:35.840,876,897
10,00:00:35.880,00:00:36.720,898,919
11,00:00:36.760,00:00:38.480,920,963
12,00:00:38.520,00:00:40.800,964,1021
13,00:00:40.840,00:00:43.360,1022,1085
14,00:00:43.400,00:00:46.000,1086,1151
15,00:00:46.040,00:00:46.880,1152,1173
