No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.080,1,28
2,00:00:01.120,00:00:02.760,29,70
3,00:00:02.800,00:00:09.000,71,226
4,00:00:09.040,00:00:10.760,227,270
5,00:00:10.800,00:00:13.880,271,348
6,00:00:13.920,00:00:17.320,349,434
7,00:00:17.360,00:00:20.640,435,517
8,00:00:20.680,00:00:23.480,518,588
9,00:00:23.520,00:00:27.600,589,691
10,00:00:27.640,00:00:32.600,692,816
11,00:00:32.640,00:00:35.920,817,899
12,00:00:35.960,00:00:37.680,900,943
13,00:00:37.720,00:00:39.400,944,986
14,00:00:39.440,00:00:43.320,987,1084
15,00:00:43.360,00:00:45.000,1085,1126
16,00:00:45.040,00:00:46.400,1127,1161
17,00:00:46.440,00:00:48.240,1162,1207
18,00:00:48.280,00:00:51.440,1208,1287
19,00:00:51.480,00:00:54.400,1288,1361
20,00:00:54.440,00:00:57.400,1362,1436
21,00:00:57.440,00:00:58.120,1437,1454
22,00:00:58.160,00:01:02.520,1455,1564
23,00:01:02.560,00:01:03.640,1565,1592
24,00:01:03.680,00:01:05.560,1593,1640
25,00:01:05.600,00:01:08.960,1641,1725
26,00:01:09.000,00:01:17.280,1726,1933
27,00:01:17.320,00:01:18.040,1934,1952
28,00:01:18.080,00:01:22.640,1953,2067
29,00:01:22.680,00:01:26.120,2068,2154
30,00:01:26.160,00:01:29.840,2155,2247
31,00:01:29.880,00:01:34.360,2248,2360
32,00:01:34.400,00:01:35.600,2361,2391
33,00:01:35.640,00:01:42.440,2392,2562
34,00:01:42.480,00:01:42.680,2563,2568
35,00:01:42.720,00:01:50.960,2569,2775
36,00:01:51.000,00:01:52.960,2776,2825
37,00:01:53.000,00:01:56.400,2826,2911
38,00:01:56.440,00:01:59.440,2912,2987
39,00:01:59.480,00:02:02.080,2988,3053
40,00:02:02.120,00:02:08.280,3054,3208
41,00:02:08.320,00:02:10.480,3209,3263
42,00:02:10.520,00:02:12.480,3264,3313
43,00:02:12.520,00:02:13.880,3314,3348
44,00:02:13.920,00:02:15.520,3349,3389
45,00:02:15.560,00:02:17.800,3390,3446
46,00:02:17.840,00:02:17.840,3447,3447
47,00:02:17.880,00:02:17.880,3448,3448
48,00:02:17.920,00:02:21.920,3449,3549
