No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:07.960,1,200
2,00:00:08.000,00:00:11.840,201,297
3,00:00:11.880,00:00:16.640,298,417
4,00:00:16.680,00:00:21.200,418,531
5,00:00:21.240,00:00:24.120,532,604
6,00:00:24.160,00:00:28.160,605,705
7,00:00:28.200,00:00:32.960,706,825
8,00:00:33.000,00:00:35.440,826,887
9,00:00:35.480,00:00:38.960,888,975
10,00:00:39.000,00:00:41.560,976,1040
11,00:00:41.600,00:00:45.200,1041,1131
12,00:00:45.240,00:00:47.440,1132,1187
13,00:00:47.480,00:00:58.960,1188,1475
14,00:00:59.000,00:01:03.440,1476,1587
15,00:01:03.480,00:01:07.160,1588,1680
16,00:01:07.200,00:01:12.720,1681,1819
17,00:01:12.760,00:01:17.840,1820,1947
18,00:01:17.880,00:01:20.120,1948,2004
19,00:01:20.160,00:01:25.640,2005,2142
20,00:01:25.680,00:01:29.320,2143,2234
21,00:01:29.360,00:01:33.240,2235,2332
22,00:01:33.280,00:01:35.520,2333,2389
23,00:01:35.560,00:01:44.040,2390,2602
24,00:01:44.080,00:01:48.160,2603,2705
25,00:01:48.200,00:01:53.720,2706,2844
26,00:01:53.760,00:01:56.480,2845,2913
27,00:01:56.520,00:02:01.360,2914,3035
28,00:02:01.400,00:02:05.040,3036,3127
29,00:02:05.080,00:02:08.880,3128,3223
30,00:02:08.920,00:02:17.800,3224,3446
31,00:02:17.840,00:02:20.680,3447,3518
32,00:02:20.720,00:02:21.880,3519,3548
33,00:02:21.920,00:02:23.520,3549,3589
34,00:02:23.560,00:02:29.680,3590,3743
35,00:02:29.720,00:02:36.480,3744,3913
36,00:02:36.520,00:02:37.200,3914,3931
