No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:04.680,1,118
2,00:00:04.720,00:00:08.920,119,224
3,00:00:08.960,00:00:12.320,225,309
4,00:00:12.360,00:00:20.440,310,512
5,00:00:20.480,00:00:25.040,513,627
6,00:00:25.080,00:00:32.440,628,812
7,00:00:32.480,00:00:37.240,813,932
8,00:00:37.280,00:00:41.640,933,1042
9,00:00:41.680,00:00:43.960,1043,1100
10,00:00:44.000,00:00:50.840,1101,1272
11,00:00:50.880,00:00:53.000,1273,1326
12,00:00:53.040,00:00:56.600,1327,1416
13,00:00:56.640,00:01:12.160,1417,1805
14,00:01:12.200,00:01:17.360,1806,1935
15,00:01:17.400,00:01:20.040,1936,2002
16,00:01:20.080,00:01:22.280,2003,2058
17,00:01:22.320,00:01:25.080,2059,2128
18,00:01:25.120,00:01:28.520,2129,2214
19,00:01:28.560,00:01:32.960,2215,2325
20,00:01:33.000,00:01:36.040,2326,2402
21,00:01:36.080,00:01:39.240,2403,2482
22,00:01:39.280,00:01:50.760,2483,2770
23,00:01:50.800,00:01:53.440,2771,2837
24,00:01:53.480,00:01:56.440,2838,2912
25,00:01:56.480,00:01:59.400,2913,2986
26,00:01:59.440,00:02:04.080,2987,3103
27,00:02:04.120,00:02:09.320,3104,3234
28,00:02:09.360,00:02:12.680,3235,3318
29,00:02:12.720,00:02:18.840,3319,3472
30,00:02:18.880,00:02:22.560,3473,3565
31,00:02:22.600,00:02:26.400,3566,3661
32,00:02:26.440,00:02:44.320,3662,4109
33,00:02:44.360,00:03:11.760,4110,4795
34,00:03:11.800,00:03:22.840,4796,5072
35,00:03:22.880,00:03:25.400,5073,5136
36,00:03:25.440,00:03:28.200,5137,5206
37,00:03:28.240,00:03:33.000,5207,5326
38,00:03:33.040,00:03:37.520,5327,5439
39,00:03:37.560,00:03:40.840,5440,5522
40,00:03:40.880,00:03:43.440,5523,5587
41,00:03:43.480,00:03:54.480,5588,5863
42,00:03:54.520,00:03:57.200,5864,5931
43,00:03:57.240,00:04:17.080,5932,6428
44,00:04:17.120,00:04:20.480,6429,6513
45,00:04:20.520,00:04:25.440,6514,6637
46,00:04:25.480,00:04:31.320,6638,6784
47,00:04:31.360,00:04:33.960,6785,6850
48,00:04:34.000,00:04:36.480,6851,6913
