No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.480,1,63
2,00:00:02.520,00:00:04.520,64,114
3,00:00:04.560,00:00:14.640,115,367
4,00:00:14.680,00:00:17.040,368,427
5,00:00:17.080,00:00:20.120,428,504
6,00:00:20.160,00:00:27.960,505,700
7,00:00:28.000,00:00:30.320,701,759
8,00:00:30.360,00:00:34.520,760,864
9,00:00:34.560,00:00:35.600,865,891
10,00:00:35.640,00:00:38.480,892,963
11,00:00:38.520,00:00:41.800,964,1046
12,00:00:41.840,00:00:43.600,1047,1091
13,00:00:43.640,00:00:49.600,1092,1241
14,00:00:49.640,00:00:52.640,1242,1317
15,00:00:52.680,00:01:02.880,1318,1573
16,00:01:02.920,00:01:09.000,1574,1726
17,00:01:09.040,00:01:12.360,1727,1810
18,00:01:12.400,00:01:18.080,1811,1953
19,00:01:18.120,00:01:23.920,1954,2099
20,00:01:23.960,00:01:27.320,2100,2184
21,00:01:27.360,00:01:31.760,2185,2295
22,00:01:31.800,00:01:35.000,2296,2376
23,00:01:35.040,00:01:39.040,2377,2477
24,00:01:39.080,00:01:43.520,2478,2589
25,00:01:43.560,00:01:50.440,2590,2762
26,00:01:50.480,00:01:55.240,2763,2882
27,00:01:55.280,00:01:58.440,2883,2962
28,00:01:58.480,00:02:04.520,2963,3114
29,00:02:04.560,00:02:08.320,3115,3209
30,00:02:08.360,00:02:12.240,3210,3307
31,00:02:12.280,00:02:18.360,3308,3460
32,00:02:18.400,00:02:20.920,3461,3524
33,00:02:20.960,00:02:23.760,3525,3595
34,00:02:23.800,00:02:25.880,3596,3648
35,00:02:25.920,00:02:30.880,3649,3773
36,00:02:30.920,00:02:40.960,3774,4025
37,00:02:41.000,00:02:44.720,4026,4119
38,00:02:44.760,00:02:47.840,4120,4197
39,00:02:47.880,00:02:56.600,4198,4416
40,00:02:56.640,00:02:59.640,4417,4492
41,00:02:59.680,00:03:07.000,4493,4676
