No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:03.360,1,85
2,00:00:03.400,00:00:06.000,86,151
3,00:00:06.040,00:00:08.920,152,224
4,00:00:08.960,00:00:11.560,225,290
5,00:00:11.600,00:00:15.080,291,378
6,00:00:15.120,00:00:18.080,379,453
7,00:00:18.120,00:00:22.560,454,565
8,00:00:22.600,00:00:26.320,566,659
9,00:00:26.360,00:00:29.440,660,737
10,00:00:29.480,00:00:32.400,738,811
11,00:00:32.440,00:00:35.560,812,890
12,00:00:35.600,00:00:37.320,891,934
13,00:00:37.360,00:00:39.200,935,981
14,00:00:39.240,00:00:41.000,982,1026
15,00:00:41.040,00:00:44.920,1027,1124
16,00:00:44.960,00:00:46.920,1125,1174
17,00:00:46.960,00:00:48.760,1175,1220
18,00:00:48.800,00:00:58.120,1221,1454
19,00:00:58.160,00:01:02.960,1455,1575
20,00:01:03.000,00:01:11.520,1576,1789
21,00:01:11.560,00:01:16.080,1790,1903
22,00:01:16.120,00:01:20.880,1904,2023
23,00:01:20.920,00:01:27.360,2024,2185
24,00:01:27.400,00:01:36.800,2186,2421
25,00:01:36.840,00:01:39.440,2422,2487
26,00:01:39.480,00:01:43.720,2488,2594
27,00:01:43.760,00:01:46.440,2595,2662
28,00:01:46.480,00:01:48.960,2663,2725
29,00:01:49.000,00:01:56.760,2726,2920
30,00:01:56.800,00:01:59.600,2921,2991
31,00:01:59.640,00:02:01.800,2992,3046
