No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.960,1,25
2,00:00:01.000,00:00:09.320,26,234
3,00:00:09.360,00:00:09.840,235,247
4,00:00:09.880,00:00:14.000,248,351
5,00:00:14.040,00:00:16.560,352,415
6,00:00:16.600,00:00:18.480,416,463
7,00:00:18.520,00:00:19.400,464,486
8,00:00:19.440,00:00:21.640,487,542
9,00:00:21.680,00:00:25.400,543,636
10,00:00:25.440,00:00:27.320,637,684
11,00:00:27.360,00:00:29.480,685,738
12,00:00:29.520,00:00:30.920,739,774
13,00:00:30.960,00:00:32.600,775,816
14,00:00:32.640,00:00:35.440,817,887
15,00:00:35.480,00:00:38.280,888,958
16,00:00:38.320,00:00:42.000,959,1051
17,00:00:42.040,00:00:43.520,1052,1089
18,00:00:43.560,00:00:51.240,1090,1282
19,00:00:51.280,00:00:53.440,1283,1337
20,00:00:53.480,00:00:56.200,1338,1406
21,00:00:56.240,00:01:00.000,1407,1501
22,00:01:00.040,00:01:04.880,1502,1623
23,00:01:04.920,00:01:07.600,1624,1691
24,00:01:07.640,00:01:09.880,1692,1748
25,00:01:09.920,00:01:16.320,1749,1909
26,00:01:16.360,00:01:20.080,1910,2003
27,00:01:20.120,00:01:21.240,2004,2032
28,00:01:21.280,00:01:24.840,2033,2122
29,00:01:24.880,00:01:33.480,2123,2338
30,00:01:33.520,00:01:33.560,2339,2340
