No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.320,1,59
2,00:00:02.360,00:00:07.520,60,189
3,00:00:07.560,00:00:09.400,190,236
4,00:00:09.440,00:00:11.400,237,286
5,00:00:11.440,00:00:13.920,287,349
6,00:00:13.960,00:00:20.280,350,508
7,00:00:20.320,00:00:21.360,509,535
8,00:00:21.400,00:00:22.440,536,562
9,00:00:22.480,00:00:23.960,563,600
10,00:00:24.000,00:00:25.680,601,643
11,00:00:25.720,00:00:27.600,644,691
12,00:00:27.640,00:00:28.720,692,719
13,00:00:28.760,00:00:30.360,720,760
14,00:00:30.400,00:00:34.440,761,862
15,00:00:34.480,00:00:37.880,863,948
16,00:00:37.920,00:00:44.200,949,1106
17,00:00:44.240,00:00:49.960,1107,1250
18,00:00:50.000,00:00:54.320,1251,1359
19,00:00:54.360,00:00:57.680,1360,1443
20,00:00:57.720,00:00:59.720,1444,1494
21,00:00:59.760,00:01:09.680,1495,1743
22,00:01:09.720,00:01:15.120,1744,1879
23,00:01:15.160,00:01:17.000,1880,1926
24,00:01:17.040,00:01:19.160,1927,1980
25,00:01:19.200,00:01:21.160,1981,2030
26,00:01:21.200,00:01:31.480,2031,2288
27,00:01:31.520,00:01:32.440,2289,2312
