No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.920,1,24
2,00:00:00.960,00:00:03.240,25,82
3,00:00:03.280,00:00:06.520,83,164
4,00:00:06.560,00:00:14.920,165,374
5,00:00:14.960,00:00:17.040,375,427
6,00:00:17.080,00:00:19.120,428,479
7,00:00:19.160,00:00:21.120,480,529
8,00:00:21.160,00:00:26.360,530,660
9,00:00:26.400,00:00:36.720,661,919
10,00:00:36.760,00:00:39.120,920,979
11,00:00:39.160,00:00:41.200,980,1031
12,00:00:41.240,00:00:45.880,1032,1148
13,00:00:45.920,00:00:52.440,1149,1312
14,00:00:52.480,00:00:55.000,1313,1376
15,00:00:55.040,00:01:01.160,1377,1530
16,00:01:01.200,00:01:06.000,1531,1651
17,00:01:06.040,00:01:07.880,1652,1698
18,00:01:07.920,00:01:10.320,1699,1759
19,00:01:10.360,00:01:15.680,1760,1893
20,00:01:15.720,00:01:16.080,1894,1903
