No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.760,1,20
2,00:00:00.800,00:00:02.360,21,60
3,00:00:02.400,00:00:04.440,61,112
4,00:00:04.480,00:00:05.640,113,142
5,00:00:05.680,00:00:06.760,143,170
6,00:00:06.800,00:00:07.920,171,199
7,00:00:07.960,00:00:09.320,200,234
8,00:00:09.360,00:00:11.840,235,297
9,00:00:11.880,00:00:12.880,298,323
10,00:00:12.920,00:00:14.560,324,365
11,00:00:14.600,00:00:15.800,366,396
12,00:00:15.840,00:00:19.840,397,497
13,00:00:19.880,00:00:21.280,498,533
14,00:00:21.320,00:00:23.640,534,592
15,00:00:23.680,00:00:25.280,593,633
16,00:00:25.320,00:00:26.480,634,663
17,00:00:26.520,00:00:27.680,664,693
18,00:00:27.720,00:00:28.320,694,709
19,00:00:28.360,00:00:29.120,710,729
20,00:00:29.160,00:00:30.040,730,752
21,00:00:30.080,00:00:31.160,753,780
22,00:00:31.200,00:00:33.200,781,831
23,00:00:33.240,00:00:35.080,832,878
24,00:00:35.120,00:00:36.120,879,904
25,00:00:36.160,00:00:37.280,905,933
26,00:00:37.320,00:00:38.880,934,973
27,00:00:38.920,00:00:39.920,974,999
28,00:00:39.960,00:00:41.360,1000,1035
29,00:00:41.400,00:00:42.480,1036,1063
30,00:00:42.520,00:00:43.760,1064,1095
31,00:00:43.800,00:00:44.360,1096,1110
32,00:00:44.400,00:00:44.480,1111,1113
