No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.800,1,21
2,00:00:00.840,00:00:04.120,22,104
3,00:00:04.160,00:00:05.320,105,134
4,00:00:05.360,00:00:06.400,135,161
5,00:00:06.440,00:00:07.880,162,198
6,00:00:07.920,00:00:09.520,199,239
7,00:00:09.560,00:00:11.760,240,295
8,00:00:11.800,00:00:12.880,296,323
9,00:00:12.920,00:00:14.320,324,359
10,00:00:14.360,00:00:15.320,360,384
11,00:00:15.360,00:00:16.760,385,420
12,00:00:16.800,00:00:18.240,421,457
13,00:00:18.280,00:00:19.680,458,493
14,00:00:19.720,00:00:23.800,494,596
15,00:00:23.840,00:00:25.840,597,647
16,00:00:25.880,00:00:29.920,648,749
17,00:00:29.960,00:00:32.960,750,825
18,00:00:33.000,00:00:36.160,826,905
19,00:00:36.200,00:00:40.360,906,1010
20,00:00:40.400,00:00:43.760,1011,1095
21,00:00:43.800,00:00:45.280,1096,1133
22,00:00:45.320,00:00:47.360,1134,1185
23,00:00:47.400,00:00:49.240,1186,1232
24,00:00:49.280,00:00:51.760,1233,1295
25,00:00:51.800,00:00:53.200,1296,1331
26,00:00:53.240,00:00:54.920,1332,1374
27,00:00:54.960,00:00:56.760,1375,1420
28,00:00:56.800,00:00:58.680,1421,1468
29,00:00:58.720,00:01:00.160,1469,1505
30,00:01:00.200,00:01:01.640,1506,1542
31,00:01:01.680,00:01:03.400,1543,1586
32,00:01:03.440,00:01:05.800,1587,1646
33,00:01:05.840,00:01:07.120,1647,1679
34,00:01:07.160,00:01:10.800,1680,1771
35,00:01:10.840,00:01:15.240,1772,1882
36,00:01:15.280,00:01:17.840,1883,1947
37,00:01:17.880,00:01:20.200,1948,2006
38,00:01:20.240,00:01:22.200,2007,2056
39,00:01:22.240,00:01:24.880,2057,2123
40,00:01:24.920,00:01:26.440,2124,2162
41,00:01:26.480,00:01:29.200,2163,2231
42,00:01:29.240,00:01:31.560,2232,2290
43,00:01:31.600,00:01:34.880,2291,2373
44,00:01:34.920,00:01:38.160,2374,2455
45,00:01:38.200,00:01:39.880,2456,2498
46,00:01:39.920,00:01:41.280,2499,2533
47,00:01:41.320,00:01:42.600,2534,2566
48,00:01:42.640,00:01:45.920,2567,2649
49,00:01:45.960,00:01:49.520,2650,2739
50,00:01:49.560,00:01:51.560,2740,2790
51,00:01:51.600,00:01:53.440,2791,2837
52,00:01:53.480,00:01:57.920,2838,2949
53,00:01:57.960,00:02:00.520,2950,3014
54,00:02:00.560,00:02:03.960,3015,3100
55,00:02:04.000,00:02:10.160,3101,3255
56,00:02:10.200,00:02:11.600,3256,3291
57,00:02:11.640,00:02:13.360,3292,3335
58,00:02:13.400,00:02:15.240,3336,3382
59,00:02:15.280,00:02:18.720,3383,3469
60,00:02:18.760,00:02:21.160,3470,3530
61,00:02:21.200,00:02:23.880,3531,3598
62,00:02:23.920,00:02:26.280,3599,3658
63,00:02:26.320,00:02:28.440,3659,3712
64,00:02:28.480,00:02:31.640,3713,3792
65,00:02:31.680,00:02:34.160,3793,3855
66,00:02:34.200,00:02:36.440,3856,3912
67,00:02:36.480,00:02:39.440,3913,3987
68,00:02:39.480,00:02:42.800,3988,4071
69,00:02:42.840,00:02:44.440,4072,4112
70,00:02:44.480,00:02:46.400,4113,4161
71,00:02:46.440,00:02:48.040,4162,4202
72,00:02:48.080,00:02:51.120,4203,4279
73,00:02:51.160,00:02:53.240,4280,4332
74,00:02:53.280,00:02:55.200,4333,4381
75,00:02:55.240,00:02:56.640,4382,4417
76,00:02:56.680,00:02:58.360,4418,4460
77,00:02:58.400,00:02:59.920,4461,4499
78,00:02:59.960,00:03:00.880,4500,4523
79,00:03:00.920,00:03:02.000,4524,4551
80,00:03:02.040,00:03:05.120,4552,4629
81,00:03:05.160,00:03:08.000,4630,4701
82,00:03:08.040,00:03:11.960,4702,4800
83,00:03:12.000,00:03:14.960,4801,4875
84,00:03:15.000,00:03:20.880,4876,5023
85,00:03:20.920,00:03:23.400,5024,5086
86,00:03:23.440,00:03:24.520,5087,5114
87,00:03:24.560,00:03:26.760,5115,5170
88,00:03:26.800,00:03:28.640,5171,5217
89,00:03:28.680,00:03:48.160,5218,5705
90,00:03:48.200,00:03:52.320,5706,5809
91,00:03:52.360,00:03:56.520,5810,5914
