No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:08.960,1,225
2,00:00:09.000,00:00:09.920,226,249
3,00:00:09.960,00:00:12.320,250,309
4,00:00:12.360,00:00:14.800,310,371
5,00:00:14.840,00:00:18.000,372,451
6,00:00:18.040,00:00:20.560,452,515
7,00:00:20.600,00:00:50.080,516,1253
8,00:00:50.120,00:01:06.120,1254,1654
9,00:01:06.160,00:01:12.320,1655,1809
10,00:01:12.360,00:01:15.960,1810,1900
11,00:01:16.000,00:01:21.320,1901,2034
12,00:01:21.360,00:01:25.280,2035,2133
13,00:01:25.320,00:01:36.800,2134,2421
14,00:01:36.840,00:01:43.160,2422,2580
15,00:01:43.200,00:01:47.920,2581,2699
16,00:01:47.960,00:01:59.080,2700,2978
17,00:01:59.120,00:02:01.920,2979,3049
18,00:02:01.960,00:02:04.640,3050,3117
19,00:02:04.680,00:02:06.840,3118,3172
20,00:02:06.880,00:02:09.000,3173,3226
21,00:02:09.040,00:02:11.120,3227,3279
22,00:02:11.160,00:02:15.720,3280,3394
23,00:02:15.760,00:02:20.440,3395,3512
24,00:02:20.480,00:02:22.560,3513,3565
25,00:02:22.600,00:02:27.640,3566,3692
26,00:02:27.680,00:02:31.200,3693,3781
27,00:02:31.240,00:02:36.960,3782,3925
28,00:02:37.000,00:02:40.240,3926,4007
29,00:02:40.280,00:02:46.720,4008,4169
30,00:02:46.760,00:02:51.280,4170,4283
31,00:02:51.320,00:02:52.800,4284,4321
32,00:02:52.840,00:02:53.760,4322,4345
33,00:02:53.800,00:02:57.280,4346,4433
34,00:02:57.320,00:02:59.880,4434,4498
35,00:02:59.920,00:03:03.680,4499,4593
36,00:03:03.720,00:03:05.320,4594,4634
37,00:03:05.360,00:03:06.680,4635,4668
38,00:03:06.720,00:03:15.000,4669,4876
39,00:03:15.040,00:03:17.680,4877,4943
40,00:03:17.720,00:03:23.360,4944,5085
41,00:03:23.400,00:03:26.440,5086,5162
42,00:03:26.480,00:03:27.680,5163,5193
