No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:05.120,1,129
2,00:00:05.160,00:00:07.560,130,190
3,00:00:07.600,00:00:10.640,191,267
4,00:00:10.680,00:00:14.360,268,360
5,00:00:14.400,00:00:22.600,361,566
6,00:00:22.640,00:00:24.920,567,624
7,00:00:24.960,00:00:26.400,625,661
8,00:00:26.440,00:00:28.240,662,707
9,00:00:28.280,00:00:30.960,708,775
10,00:00:31.000,00:00:35.480,776,888
11,00:00:35.520,00:00:40.280,889,1008
12,00:00:40.320,00:00:44.160,1009,1105
13,00:00:44.200,00:00:50.200,1106,1256
14,00:00:50.240,00:00:52.120,1257,1304
15,00:00:52.160,00:00:53.840,1305,1347
16,00:00:53.880,00:00:57.440,1348,1437
17,00:00:57.480,00:01:03.320,1438,1584
18,00:01:03.360,00:01:05.720,1585,1644
19,00:01:05.760,00:01:09.440,1645,1737
