No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.680,1,43
2,00:00:01.720,00:00:03.480,44,88
3,00:00:03.520,00:00:05.360,89,135
4,00:00:05.400,00:00:06.320,136,159
5,00:00:06.360,00:00:08.920,160,224
6,00:00:08.960,00:00:10.920,225,274
7,00:00:10.960,00:00:11.040,275,277
8,00:00:11.080,00:00:12.680,278,318
9,00:00:12.720,00:00:17.280,319,433
10,00:00:17.320,00:00:17.400,434,436
11,00:00:17.440,00:00:19.120,437,479
12,00:00:19.160,00:00:22.400,480,561
13,00:00:22.440,00:00:25.840,562,647
14,00:00:25.880,00:00:28.560,648,715
15,00:00:28.600,00:00:36.400,716,911
16,00:00:36.440,00:00:40.040,912,1002
17,00:00:40.080,00:00:42.160,1003,1055
18,00:00:42.200,00:00:46.240,1056,1157
19,00:00:46.280,00:00:48.400,1158,1211
20,00:00:48.440,00:00:50.680,1212,1268
21,00:00:50.720,00:00:50.720,1269,1269
22,00:00:50.760,00:00:52.520,1270,1314
23,00:00:52.560,00:00:56.640,1315,1417
24,00:00:56.680,00:01:05.360,1418,1635
25,00:01:05.400,00:01:08.600,1636,1716
26,00:01:08.640,00:01:11.800,1717,1796
27,00:01:11.840,00:01:14.520,1797,1864
28,00:01:14.560,00:01:18.120,1865,1954
29,00:01:18.160,00:01:19.480,1955,1988
30,00:01:19.520,00:01:22.080,1989,2053
31,00:01:22.120,00:01:24.920,2054,2124
32,00:01:24.960,00:01:26.240,2125,2157
33,00:01:26.280,00:01:30.040,2158,2252
34,00:01:30.080,00:01:32.200,2253,2306
35,00:01:32.240,00:01:34.520,2307,2364
36,00:01:34.560,00:01:36.520,2365,2414
37,00:01:36.560,00:01:38.480,2415,2463
38,00:01:38.520,00:01:44.680,2464,2618
39,00:01:44.720,00:01:46.720,2619,2669
40,00:01:46.760,00:01:48.400,2670,2711
41,00:01:48.440,00:01:51.360,2712,2785
42,00:01:51.400,00:01:54.280,2786,2858
43,00:01:54.320,00:01:57.920,2859,2949
44,00:01:57.960,00:01:59.640,2950,2992
45,00:01:59.680,00:02:01.840,2993,3047
46,00:02:01.880,00:02:03.120,3048,3079
47,00:02:03.160,00:02:04.120,3080,3104
48,00:02:04.160,00:02:05.280,3105,3133
49,00:02:05.320,00:02:06.240,3134,3157
50,00:02:06.280,00:02:07.240,3158,3182
51,00:02:07.280,00:02:08.720,3183,3219
52,00:02:08.760,00:02:10.800,3220,3271
53,00:02:10.840,00:02:14.480,3272,3363
54,00:02:14.520,00:02:17.520,3364,3439
55,00:02:17.560,00:02:21.080,3440,3528
56,00:02:21.120,00:02:23.680,3529,3593
57,00:02:23.720,00:02:25.080,3594,3628
58,00:02:25.120,00:02:27.960,3629,3700
59,00:02:28.000,00:02:32.640,3701,3817
60,00:02:32.680,00:02:34.960,3818,3875
61,00:02:35.000,00:02:39.600,3876,3991
62,00:02:39.640,00:02:40.960,3992,4025
63,00:02:41.000,00:02:44.360,4026,4110
64,00:02:44.400,00:02:48.720,4111,4219
65,00:02:48.760,00:02:50.960,4220,4275
66,00:02:51.000,00:02:54.480,4276,4363
67,00:02:54.520,00:02:59.600,4364,4491
68,00:02:59.640,00:03:04.520,4492,4614
