No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.760,1,20
2,00:00:00.800,00:00:01.840,21,47
3,00:00:01.880,00:00:03.720,48,94
4,00:00:03.760,00:00:05.480,95,138
5,00:00:05.520,00:00:07.360,139,185
6,00:00:07.400,00:00:12.760,186,320
7,00:00:12.800,00:00:14.480,321,363
8,00:00:14.520,00:00:19.000,364,476
9,00:00:19.040,00:00:21.480,477,538
10,00:00:21.520,00:00:23.680,539,593
11,00:00:23.720,00:00:27.600,594,691
12,00:00:27.640,00:00:29.680,692,743
13,00:00:29.720,00:00:30.680,744,768
14,00:00:30.720,00:00:32.840,769,822
15,00:00:32.880,00:00:35.840,823,897
16,00:00:35.880,00:00:37.080,898,928
17,00:00:37.120,00:00:38.960,929,975
18,00:00:39.000,00:00:40.840,976,1022
19,00:00:40.880,00:00:42.040,1023,1052
20,00:00:42.080,00:00:45.080,1053,1128
21,00:00:45.120,00:00:47.680,1129,1193
22,00:00:47.720,00:00:49.560,1194,1240
23,00:00:49.600,00:00:51.080,1241,1278
24,00:00:51.120,00:00:52.040,1279,1302
25,00:00:52.080,00:00:54.280,1303,1358
26,00:00:54.320,00:00:56.480,1359,1413
27,00:00:56.520,00:01:00.760,1414,1520
28,00:01:00.800,00:01:05.840,1521,1647
29,00:01:05.880,00:01:10.720,1648,1769
30,00:01:10.760,00:01:13.160,1770,1830
31,00:01:13.200,00:01:16.200,1831,1906
32,00:01:16.240,00:01:19.480,1907,1988
33,00:01:19.520,00:01:20.400,1989,2011
34,00:01:20.440,00:01:21.360,2012,2035
35,00:01:21.400,00:01:24.360,2036,2110
36,00:01:24.400,00:01:26.320,2111,2159
37,00:01:26.360,00:01:27.800,2160,2196
38,00:01:27.840,00:01:29.360,2197,2235
39,00:01:29.400,00:01:32.000,2236,2301
40,00:01:32.040,00:01:34.680,2302,2368
41,00:01:34.720,00:01:43.400,2369,2586
42,00:01:43.440,00:01:48.600,2587,2716
43,00:01:48.640,00:01:50.240,2717,2757
44,00:01:50.280,00:01:51.560,2758,2790
45,00:01:51.600,00:01:57.400,2791,2936
46,00:01:57.440,00:02:03.720,2937,3094
47,00:02:03.760,00:02:05.640,3095,3142
48,00:02:05.680,00:02:11.440,3143,3287
49,00:02:11.480,00:02:13.360,3288,3335
50,00:02:13.400,00:02:14.920,3336,3374
51,00:02:14.960,00:02:18.440,3375,3462
52,00:02:18.480,00:02:20.680,3463,3518
53,00:02:20.720,00:02:22.040,3519,3552
54,00:02:22.080,00:02:23.960,3553,3600
55,00:02:24.000,00:02:26.120,3601,3654
56,00:02:26.160,00:02:27.320,3655,3684
57,00:02:27.360,00:02:35.800,3685,3896
58,00:02:35.840,00:02:38.720,3897,3969
59,00:02:38.760,00:02:40.120,3970,4004
60,00:02:40.160,00:02:42.720,4005,4069
61,00:02:42.760,00:02:44.800,4070,4121
62,00:02:44.840,00:02:46.880,4122,4173
63,00:02:46.920,00:02:52.720,4174,4319
64,00:02:52.760,00:02:53.520,4320,4339
65,00:02:53.560,00:02:56.840,4340,4422
66,00:02:56.880,00:03:00.560,4423,4515
67,00:03:00.600,00:03:03.000,4516,4576
68,00:03:03.040,00:03:06.640,4577,4667
69,00:03:06.680,00:03:09.120,4668,4729
70,00:03:09.160,00:03:11.440,4730,4787
71,00:03:11.480,00:03:12.240,4788,4807
