No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.800,1,71
2,00:00:02.840,00:00:04.240,72,107
3,00:00:04.280,00:00:29.400,108,736
4,00:00:29.440,00:00:32.040,737,802
5,00:00:32.080,00:00:34.520,803,864
6,00:00:34.560,00:00:38.120,865,954
7,00:00:38.160,00:00:41.880,955,1048
8,00:00:41.920,00:00:59.360,1049,1485
9,00:00:59.400,00:01:04.960,1486,1625
10,00:01:05.000,00:01:07.640,1626,1692
11,00:01:07.680,00:01:09.800,1693,1746
12,00:01:09.840,00:01:12.400,1747,1811
13,00:01:12.440,00:01:20.320,1812,2009
14,00:01:20.360,00:01:22.120,2010,2054
15,00:01:22.160,00:01:25.360,2055,2135
16,00:01:25.400,00:01:26.400,2136,2161
17,00:01:26.440,00:01:28.680,2162,2218
18,00:01:28.720,00:01:30.680,2219,2268
19,00:01:30.720,00:01:37.600,2269,2441
20,00:01:37.640,00:01:41.040,2442,2527
21,00:01:41.080,00:01:42.240,2528,2557
22,00:01:42.280,00:01:44.760,2558,2620
23,00:01:44.800,00:01:47.280,2621,2683
24,00:01:47.320,00:01:50.480,2684,2763
25,00:01:50.520,00:01:54.680,2764,2868
26,00:01:54.720,00:01:56.040,2869,2902
27,00:01:56.080,00:01:57.960,2903,2950
28,00:01:58.000,00:01:59.560,2951,2990
29,00:01:59.600,00:02:03.160,2991,3080
30,00:02:03.200,00:02:05.280,3081,3133
31,00:02:05.320,00:02:07.760,3134,3195
32,00:02:07.800,00:02:09.080,3196,3228
33,00:02:09.120,00:02:12.840,3229,3322
34,00:02:12.880,00:02:15.520,3323,3389
35,00:02:15.560,00:02:20.760,3390,3520
36,00:02:20.800,00:02:25.920,3521,3649
37,00:02:25.960,00:02:28.720,3650,3719
38,00:02:28.760,00:02:29.880,3720,3748
39,00:02:29.920,00:02:31.760,3749,3795
40,00:02:31.800,00:02:34.720,3796,3869
41,00:02:34.760,00:02:38.840,3870,3972
42,00:02:38.880,00:02:40.800,3973,4021
43,00:02:40.840,00:02:42.400,4022,4061
44,00:02:42.440,00:02:44.680,4062,4118
45,00:02:44.720,00:02:46.520,4119,4164
46,00:02:46.560,00:02:48.760,4165,4220
47,00:02:48.800,00:02:52.160,4221,4305
48,00:02:52.200,00:02:53.400,4306,4336
49,00:02:53.440,00:02:54.520,4337,4364
50,00:02:54.560,00:02:55.320,4365,4384
51,00:02:55.360,00:02:57.360,4385,4435
52,00:02:57.400,00:02:58.800,4436,4471
53,00:02:58.840,00:03:00.160,4472,4505
54,00:03:00.200,00:03:01.480,4506,4538
55,00:03:01.520,00:03:02.600,4539,4566
56,00:03:02.640,00:03:03.240,4567,4582
