No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.120,1,29
2,00:00:01.160,00:00:03.880,30,98
3,00:00:03.920,00:00:04.920,99,124
4,00:00:04.960,00:00:07.600,125,191
5,00:00:07.640,00:00:09.560,192,240
6,00:00:09.600,00:00:13.440,241,337
7,00:00:13.480,00:00:15.320,338,384
8,00:00:15.360,00:00:18.000,385,451
9,00:00:18.040,00:00:20.440,452,512
10,00:00:20.480,00:00:22.200,513,556
11,00:00:22.240,00:00:24.880,557,623
12,00:00:24.920,00:00:27.040,624,677
13,00:00:27.080,00:00:29.280,678,733
14,00:00:29.320,00:00:30.960,734,775
15,00:00:31.000,00:00:32.760,776,820
16,00:00:32.800,00:00:35.120,821,879
17,00:00:35.160,00:00:37.320,880,934
18,00:00:37.360,00:00:41.440,935,1037
19,00:00:41.480,00:00:43.560,1038,1090
20,00:00:43.600,00:00:46.680,1091,1168
21,00:00:46.720,00:00:47.840,1169,1197
22,00:00:47.880,00:00:49.600,1198,1241
23,00:00:49.640,00:00:50.960,1242,1275
24,00:00:51.000,00:00:53.400,1276,1336
25,00:00:53.440,00:00:57.760,1337,1445
26,00:00:57.800,00:00:59.680,1446,1493
27,00:00:59.720,00:01:02.560,1494,1565
28,00:01:02.600,00:01:04.160,1566,1605
29,00:01:04.200,00:01:06.000,1606,1651
30,00:01:06.040,00:01:08.240,1652,1707
31,00:01:08.280,00:01:09.840,1708,1747
32,00:01:09.880,00:01:12.080,1748,1803
33,00:01:12.120,00:01:18.440,1804,1962
34,00:01:18.480,00:01:19.560,1963,1990
35,00:01:19.600,00:01:21.520,1991,2039
36,00:01:21.560,00:01:33.840,2040,2347
37,00:01:33.880,00:01:35.080,2348,2378
38,00:01:35.120,00:01:36.600,2379,2416
39,00:01:36.640,00:01:39.720,2417,2494
40,00:01:39.760,00:01:40.960,2495,2525
41,00:01:41.000,00:01:42.120,2526,2554
42,00:01:42.160,00:01:45.720,2555,2644
43,00:01:45.760,00:01:48.800,2645,2721
44,00:01:48.840,00:01:49.720,2722,2744
45,00:01:49.760,00:01:52.040,2745,2802
46,00:01:52.080,00:01:53.040,2803,2827
47,00:01:53.080,00:01:54.920,2828,2874
48,00:01:54.960,00:01:59.360,2875,2985
49,00:01:59.400,00:02:01.360,2986,3035
50,00:02:01.400,00:02:02.720,3036,3069
51,00:02:02.760,00:02:03.840,3070,3097
52,00:02:03.880,00:02:06.040,3098,3152
