No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.200,1,31
2,00:00:01.240,00:00:02.880,32,73
3,00:00:02.920,00:00:03.520,74,89
4,00:00:03.560,00:00:04.080,90,103
5,00:00:04.120,00:00:13.040,104,327
6,00:00:13.080,00:00:14.800,328,371
7,00:00:14.840,00:00:16.040,372,402
8,00:00:16.080,00:00:17.200,403,431
9,00:00:17.240,00:00:19.960,432,500
10,00:00:20.000,00:00:22.520,501,564
11,00:00:22.560,00:00:24.600,565,616
12,00:00:24.640,00:00:27.160,617,680
13,00:00:27.200,00:00:30.160,681,755
14,00:00:30.200,00:00:32.240,756,807
15,00:00:32.280,00:00:33.640,808,842
16,00:00:33.680,00:00:36.840,843,922
17,00:00:36.880,00:00:38.880,923,973
18,00:00:38.920,00:00:41.800,974,1046
19,00:00:41.840,00:00:45.680,1047,1143
20,00:00:45.720,00:00:47.920,1144,1199
21,00:00:47.960,00:00:49.760,1200,1245
22,00:00:49.800,00:00:52.440,1246,1312
23,00:00:52.480,00:00:54.560,1313,1365
24,00:00:54.600,00:00:56.760,1366,1420
25,00:00:56.800,00:00:58.760,1421,1470
26,00:00:58.800,00:01:00.040,1471,1502
27,00:01:00.080,00:01:09.360,1503,1735
28,00:01:09.400,00:01:34.720,1736,2369
29,00:01:34.760,00:01:36.800,2370,2421
30,00:01:36.840,00:01:49.080,2422,2728
31,00:01:49.120,00:01:51.800,2729,2796
32,00:01:51.840,00:02:06.920,2797,3174
33,00:02:06.960,00:02:09.760,3175,3245
34,00:02:09.800,00:02:12.880,3246,3323
35,00:02:12.920,00:02:21.080,3324,3528
