No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.560,1,65
2,00:00:02.600,00:00:04.560,66,115
3,00:00:04.600,00:00:09.800,116,246
4,00:00:09.840,00:00:10.680,247,268
5,00:00:10.720,00:00:12.160,269,305
6,00:00:12.200,00:00:13.520,306,339
7,00:00:13.560,00:00:14.600,340,366
8,00:00:14.640,00:00:16.560,367,415
9,00:00:16.600,00:00:19.520,416,489
10,00:00:19.560,00:00:22.000,490,551
11,00:00:22.040,00:00:26.920,552,674
12,00:00:26.960,00:00:29.280,675,733
13,00:00:29.320,00:00:32.000,734,801
14,00:00:32.040,00:00:35.080,802,878
15,00:00:35.120,00:00:37.320,879,934
16,00:00:37.360,00:00:40.720,935,1019
17,00:00:40.760,00:00:42.080,1020,1053
18,00:00:42.120,00:00:44.440,1054,1112
19,00:00:44.480,00:00:47.920,1113,1199
20,00:00:47.960,00:00:50.760,1200,1270
21,00:00:50.800,00:00:55.960,1271,1400
22,00:00:56.000,00:00:58.920,1401,1474
23,00:00:58.960,00:01:01.600,1475,1541
24,00:01:01.640,00:01:03.240,1542,1582
25,00:01:03.280,00:01:05.680,1583,1643
26,00:01:05.720,00:01:09.600,1644,1741
27,00:01:09.640,00:01:11.400,1742,1786
28,00:01:11.440,00:01:13.360,1787,1835
29,00:01:13.400,00:01:15.080,1836,1878
30,00:01:15.120,00:01:17.160,1879,1930
31,00:01:17.200,00:01:20.760,1931,2020
32,00:01:20.800,00:01:22.720,2021,2069
