No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.480,1,13
2,00:00:00.520,00:00:02.600,14,66
3,00:00:02.640,00:00:03.560,67,90
4,00:00:03.600,00:00:04.440,91,112
5,00:00:04.480,00:00:04.920,113,124
6,00:00:04.960,00:00:05.200,125,131
7,00:00:05.240,00:00:05.600,132,141
8,00:00:05.640,00:00:06.040,142,152
9,00:00:06.080,00:00:07.200,153,181
10,00:00:07.240,00:00:08.040,182,202
11,00:00:08.080,00:00:08.640,203,217
12,00:00:08.680,00:00:11.880,218,298
13,00:00:11.920,00:00:12.880,299,323
14,00:00:12.920,00:00:14.760,324,370
15,00:00:14.800,00:00:16.840,371,422
16,00:00:16.880,00:00:18.080,423,453
17,00:00:18.120,00:00:18.960,454,475
18,00:00:19.000,00:00:20.200,476,506
19,00:00:20.240,00:00:21.680,507,543
20,00:00:21.720,00:00:23.200,544,581
21,00:00:23.240,00:00:25.400,582,636
22,00:00:25.440,00:00:26.600,637,666
23,00:00:26.640,00:00:27.120,667,679
24,00:00:27.160,00:00:27.960,680,700
25,00:00:28.000,00:00:28.840,701,722
26,00:00:28.880,00:00:29.600,723,741
27,00:00:29.640,00:00:30.560,742,765
28,00:00:30.600,00:00:31.680,766,793
29,00:00:31.720,00:00:36.440,794,912
30,00:00:36.480,00:00:38.080,913,953
31,00:00:38.120,00:00:39.440,954,987
32,00:00:39.480,00:00:41.520,988,1039
33,00:00:41.560,00:00:42.600,1040,1066
34,00:00:42.640,00:00:43.200,1067,1081
35,00:00:43.240,00:00:44.560,1082,1115
36,00:00:44.600,00:00:45.480,1116,1138
37,00:00:45.520,00:00:46.640,1139,1167
38,00:00:46.680,00:00:48.320,1168,1209
39,00:00:48.360,00:00:49.520,1210,1239
40,00:00:49.560,00:00:53.040,1240,1327
41,00:00:53.080,00:00:55.160,1328,1380
42,00:00:55.200,00:01:00.000,1381,1501
43,00:01:00.040,00:01:04.760,1502,1620
44,00:01:04.800,00:01:05.640,1621,1642
45,00:01:05.680,00:01:05.960,1643,1650
