No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:05.600,1,141
2,00:00:05.640,00:00:07.360,142,185
3,00:00:07.400,00:00:08.440,186,212
4,00:00:08.480,00:00:11.160,213,280
5,00:00:11.200,00:00:12.480,281,313
6,00:00:12.520,00:00:14.880,314,373
7,00:00:14.920,00:00:16.880,374,423
8,00:00:16.920,00:00:19.720,424,494
9,00:00:19.760,00:00:24.880,495,623
10,00:00:24.920,00:00:26.680,624,668
11,00:00:26.720,00:00:30.720,669,769
12,00:00:30.760,00:00:32.800,770,821
13,00:00:32.840,00:00:34.160,822,855
14,00:00:34.200,00:00:35.440,856,887
15,00:00:35.480,00:00:36.560,888,915
16,00:00:36.600,00:00:37.640,916,942
17,00:00:37.680,00:00:38.760,943,970
18,00:00:38.800,00:00:40.720,971,1019
19,00:00:40.760,00:00:43.040,1020,1077
20,00:00:43.080,00:00:44.680,1078,1118
21,00:00:44.720,00:00:45.840,1119,1147
22,00:00:45.880,00:00:49.080,1148,1228
23,00:00:49.120,00:00:51.800,1229,1296
24,00:00:51.840,00:00:53.200,1297,1331
25,00:00:53.240,00:00:54.920,1332,1374
26,00:00:54.960,00:00:59.680,1375,1493
