No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:08.640,1,217
2,00:00:08.680,00:00:11.040,218,277
3,00:00:11.080,00:00:13.440,278,337
4,00:00:13.480,00:00:16.000,338,401
5,00:00:16.040,00:00:19.960,402,500
6,00:00:20.000,00:00:22.200,501,556
7,00:00:22.240,00:00:28.160,557,705
8,00:00:28.200,00:00:31.280,706,783
9,00:00:31.320,00:00:35.720,784,894
10,00:00:35.760,00:00:40.240,895,1007
11,00:00:40.280,00:00:45.000,1008,1126
12,00:00:45.040,00:00:52.280,1127,1308
13,00:00:52.320,00:00:52.920,1309,1324
14,00:00:52.960,00:01:01.720,1325,1544
15,00:01:01.760,00:01:05.160,1545,1630
16,00:01:05.200,00:01:09.760,1631,1745
17,00:01:09.800,00:01:13.240,1746,1832
18,00:01:13.280,00:01:19.440,1833,1987
19,00:01:19.480,00:01:25.440,1988,2137
20,00:01:25.480,00:01:28.640,2138,2217
21,00:01:28.680,00:01:37.200,2218,2431
22,00:01:37.240,00:01:39.240,2432,2482
23,00:01:39.280,00:01:41.720,2483,2544
24,00:01:41.760,00:01:45.200,2545,2631
25,00:01:45.240,00:01:46.960,2632,2675
26,00:01:47.000,00:01:50.360,2676,2760
27,00:01:50.400,00:01:58.320,2761,2959
28,00:01:58.360,00:02:05.920,2960,3149
29,00:02:05.960,00:02:05.960,3150,3150
30,00:02:06.000,00:02:21.600,3151,3541
31,00:02:21.640,00:02:24.240,3542,3607
32,00:02:24.280,00:02:30.040,3608,3752
33,00:02:30.080,00:02:33.480,3753,3838
34,00:02:33.520,00:02:36.720,3839,3919
35,00:02:36.760,00:02:40.160,3920,4005
36,00:02:40.200,00:02:41.560,4006,4040
37,00:02:41.600,00:02:44.800,4041,4121
38,00:02:44.840,00:02:48.680,4122,4218
39,00:02:48.720,00:02:58.240,4219,4457
40,00:02:58.280,00:03:10.640,4458,4767
41,00:03:10.680,00:03:15.280,4768,4883
42,00:03:15.320,00:03:18.440,4884,4962
43,00:03:18.480,00:03:22.280,4963,5058
44,00:03:22.320,00:03:29.800,5059,5246
