No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.400,1,36
2,00:00:01.440,00:00:02.440,37,62
3,00:00:02.480,00:00:03.400,63,86
4,00:00:03.440,00:00:04.440,87,112
5,00:00:04.480,00:00:05.960,113,150
6,00:00:06.000,00:00:07.120,151,179
7,00:00:07.160,00:00:08.080,180,203
8,00:00:08.120,00:00:09.040,204,227
9,00:00:09.080,00:00:10.120,228,254
10,00:00:10.160,00:00:12.720,255,319
11,00:00:12.760,00:00:13.600,320,341
12,00:00:13.640,00:00:14.280,342,358
13,00:00:14.320,00:00:15.400,359,386
14,00:00:15.440,00:00:16.520,387,414
15,00:00:16.560,00:00:17.520,415,439
16,00:00:17.560,00:00:18.520,440,464
17,00:00:18.560,00:00:19.720,465,494
18,00:00:19.760,00:00:20.680,495,518
19,00:00:20.720,00:00:21.720,519,544
20,00:00:21.760,00:00:22.960,545,575
21,00:00:23.000,00:00:23.800,576,596
22,00:00:23.840,00:00:24.800,597,621
23,00:00:24.840,00:00:25.520,622,639
24,00:00:25.560,00:00:26.920,640,674
25,00:00:26.960,00:00:28.000,675,701
26,00:00:28.040,00:00:28.800,702,721
27,00:00:28.840,00:00:29.680,722,743
28,00:00:29.720,00:00:30.360,744,760
29,00:00:30.400,00:00:31.360,761,785
30,00:00:31.400,00:00:32.480,786,813
31,00:00:32.520,00:00:35.360,814,885
32,00:00:35.400,00:00:36.360,886,910
33,00:00:36.400,00:00:37.000,911,926
34,00:00:37.040,00:00:37.800,927,946
35,00:00:37.840,00:00:38.760,947,970
36,00:00:38.800,00:00:39.680,971,993
37,00:00:39.720,00:00:40.760,994,1020
38,00:00:40.800,00:00:41.640,1021,1042
39,00:00:41.680,00:00:42.640,1043,1067
40,00:00:42.680,00:00:43.480,1068,1088
41,00:00:43.520,00:00:44.600,1089,1116
42,00:00:44.640,00:00:45.680,1117,1143
43,00:00:45.720,00:00:46.640,1144,1167
44,00:00:46.680,00:00:47.560,1168,1190
45,00:00:47.600,00:00:48.480,1191,1213
46,00:00:48.520,00:00:49.240,1214,1232
47,00:00:49.280,00:00:50.000,1233,1251
48,00:00:50.040,00:00:50.760,1252,1270
49,00:00:50.800,00:00:51.480,1271,1288
50,00:00:51.520,00:00:52.160,1289,1305
51,00:00:52.200,00:00:53.160,1306,1330
52,00:00:53.200,00:00:53.840,1331,1347
53,00:00:53.880,00:00:54.680,1348,1368
54,00:00:54.720,00:00:55.360,1369,1385
55,00:00:55.400,00:00:55.880,1386,1398
56,00:00:55.920,00:00:56.520,1399,1414
57,00:00:56.560,00:00:57.120,1415,1429
58,00:00:57.160,00:00:57.640,1430,1442
59,00:00:57.680,00:00:58.160,1443,1455
60,00:00:58.200,00:00:58.720,1456,1469
61,00:00:58.760,00:00:59.360,1470,1485
62,00:00:59.400,00:00:59.960,1486,1500
63,00:01:00.000,00:01:00.480,1501,1513
64,00:01:00.520,00:01:01.080,1514,1528
65,00:01:01.120,00:01:01.920,1529,1549
66,00:01:01.960,00:01:02.440,1550,1562
67,00:01:02.480,00:01:04.360,1563,1610
68,00:01:04.400,00:01:05.960,1611,1650
69,00:01:06.000,00:01:06.840,1651,1672
70,00:01:06.880,00:01:07.920,1673,1699
71,00:01:07.960,00:01:08.600,1700,1716
72,00:01:08.640,00:01:09.320,1717,1734
73,00:01:09.360,00:01:10.080,1735,1753
74,00:01:10.120,00:01:11.840,1754,1797
75,00:01:11.880,00:01:12.880,1798,1823
76,00:01:12.920,00:01:13.640,1824,1842
77,00:01:13.680,00:01:14.320,1843,1859
78,00:01:14.360,00:01:15.000,1860,1876
79,00:01:15.040,00:01:15.560,1877,1890
80,00:01:15.600,00:01:16.160,1891,1905
81,00:01:16.200,00:01:16.840,1906,1922
82,00:01:16.880,00:01:18.480,1923,1963
83,00:01:18.520,00:01:19.360,1964,1985
84,00:01:19.400,00:01:20.000,1986,2001
85,00:01:20.040,00:01:20.520,2002,2014
86,00:01:20.560,00:01:21.360,2015,2035
87,00:01:21.400,00:01:22.920,2036,2074
88,00:01:22.960,00:01:23.520,2075,2089
89,00:01:23.560,00:01:24.120,2090,2104
90,00:01:24.160,00:01:24.960,2105,2125
91,00:01:25.000,00:01:25.680,2126,2143
92,00:01:25.720,00:01:26.280,2144,2158
93,00:01:26.320,00:01:26.960,2159,2175
94,00:01:27.000,00:01:27.960,2176,2200
95,00:01:28.000,00:01:29.120,2201,2229
96,00:01:29.160,00:01:29.880,2230,2248
97,00:01:29.920,00:01:30.760,2249,2270
98,00:01:30.800,00:01:31.800,2271,2296
99,00:01:31.840,00:01:32.800,2297,2321
100,00:01:32.840,00:01:33.880,2322,2348
101,00:01:33.920,00:01:34.760,2349,2370
102,00:01:34.800,00:01:35.640,2371,2392
103,00:01:35.680,00:01:36.520,2393,2414
104,00:01:36.560,00:01:37.120,2415,2429
105,00:01:37.160,00:01:38.360,2430,2460
106,00:01:38.400,00:01:40.440,2461,2512
107,00:01:40.480,00:01:41.240,2513,2532
108,00:01:41.280,00:01:42.000,2533,2551
109,00:01:42.040,00:01:43.120,2552,2579
110,00:01:43.160,00:01:44.480,2580,2613
111,00:01:44.520,00:01:45.000,2614,2626
112,00:01:45.040,00:01:45.840,2627,2647
113,00:01:45.880,00:01:46.480,2648,2663
114,00:01:46.520,00:01:47.720,2664,2694
115,00:01:47.760,00:01:49.400,2695,2736
116,00:01:49.440,00:01:50.120,2737,2754
117,00:01:50.160,00:01:50.960,2755,2775
118,00:01:51.000,00:01:52.200,2776,2806
119,00:01:52.240,00:01:53.040,2807,2827
120,00:01:53.080,00:01:53.720,2828,2844
121,00:01:53.760,00:01:55.400,2845,2886
122,00:01:55.440,00:01:56.400,2887,2911
123,00:01:56.440,00:01:57.040,2912,2927
124,00:01:57.080,00:01:58.160,2928,2955
125,00:01:58.200,00:01:59.200,2956,2981
126,00:01:59.240,00:01:59.840,2982,2997
127,00:01:59.880,00:02:00.520,2998,3014
128,00:02:00.560,00:02:01.200,3015,3031
129,00:02:01.240,00:02:01.600,3032,3041
130,00:02:01.640,00:02:02.160,3042,3055
131,00:02:02.200,00:02:02.680,3056,3068
132,00:02:02.720,00:02:03.160,3069,3080
133,00:02:03.200,00:02:03.560,3081,3090
134,00:02:03.600,00:02:04.120,3091,3104
135,00:02:04.160,00:02:05.000,3105,3126
136,00:02:05.040,00:02:05.640,3127,3142
137,00:02:05.680,00:02:06.240,3143,3157
138,00:02:06.280,00:02:07.360,3158,3185
139,00:02:07.400,00:02:08.200,3186,3206
140,00:02:08.240,00:02:09.040,3207,3227
141,00:02:09.080,00:02:10.040,3228,3252
142,00:02:10.080,00:02:11.680,3253,3293
143,00:02:11.720,00:02:12.480,3294,3313
144,00:02:12.520,00:02:13.280,3314,3333
145,00:02:13.320,00:02:14.080,3334,3353
146,00:02:14.120,00:02:15.120,3354,3379
147,00:02:15.160,00:02:15.960,3380,3400
148,00:02:16.000,00:02:16.720,3401,3419
149,00:02:16.760,00:02:17.680,3420,3443
150,00:02:17.720,00:02:18.920,3444,3474
151,00:02:18.960,00:02:20.680,3475,3518
152,00:02:20.720,00:02:21.560,3519,3540
