No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.640,1,17
2,00:00:00.680,00:00:08.400,18,211
3,00:00:08.440,00:00:15.880,212,398
4,00:00:15.920,00:00:18.680,399,468
5,00:00:18.720,00:00:21.360,469,535
6,00:00:21.400,00:00:23.160,536,580
7,00:00:23.200,00:00:25.000,581,626
8,00:00:25.040,00:00:27.240,627,682
9,00:00:27.280,00:00:36.240,683,907
10,00:00:36.280,00:00:38.280,908,958
11,00:00:38.320,00:00:40.920,959,1024
12,00:00:40.960,00:00:42.440,1025,1062
13,00:00:42.480,00:00:44.680,1063,1118
14,00:00:44.720,00:00:45.400,1119,1136
15,00:00:45.440,00:00:46.440,1137,1162
16,00:00:46.480,00:00:48.280,1163,1208
17,00:00:48.320,00:00:50.040,1209,1252
18,00:00:50.080,00:00:51.680,1253,1293
19,00:00:51.720,00:00:53.600,1294,1341
20,00:00:53.640,00:00:55.080,1342,1378
21,00:00:55.120,00:00:59.040,1379,1477
22,00:00:59.080,00:01:02.000,1478,1551
23,00:01:02.040,00:01:06.600,1552,1666
24,00:01:06.640,00:01:08.560,1667,1715
25,00:01:08.600,00:01:10.000,1716,1751
26,00:01:10.040,00:01:12.200,1752,1806
27,00:01:12.240,00:01:14.040,1807,1852
28,00:01:14.080,00:01:17.880,1853,1948
29,00:01:17.920,00:01:19.800,1949,1996
30,00:01:19.840,00:01:22.880,1997,2073
31,00:01:22.920,00:01:23.520,2074,2089
32,00:01:23.560,00:01:24.720,2090,2119
33,00:01:24.760,00:01:25.520,2120,2139
34,00:01:25.560,00:01:27.600,2140,2191
35,00:01:27.640,00:01:29.680,2192,2243
