No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.040,1,52
2,00:00:02.080,00:00:04.400,53,111
3,00:00:04.440,00:00:08.680,112,218
4,00:00:08.720,00:00:09.720,219,244
5,00:00:09.760,00:00:11.200,245,281
6,00:00:11.240,00:00:12.800,282,321
7,00:00:12.840,00:00:20.240,322,507
8,00:00:20.280,00:00:21.960,508,550
9,00:00:22.000,00:00:23.760,551,595
10,00:00:23.800,00:00:26.040,596,652
11,00:00:26.080,00:00:27.720,653,694
12,00:00:27.760,00:00:30.720,695,769
13,00:00:30.760,00:00:32.840,770,822
14,00:00:32.880,00:00:34.360,823,860
15,00:00:34.400,00:00:35.600,861,891
16,00:00:35.640,00:00:37.640,892,942
17,00:00:37.680,00:00:39.560,943,990
18,00:00:39.600,00:00:41.600,991,1041
19,00:00:41.640,00:00:43.840,1042,1097
20,00:00:43.880,00:00:47.120,1098,1179
21,00:00:47.160,00:00:48.480,1180,1213
22,00:00:48.520,00:00:50.120,1214,1254
23,00:00:50.160,00:00:51.360,1255,1285
24,00:00:51.400,00:00:52.320,1286,1309
25,00:00:52.360,00:00:54.360,1310,1360
26,00:00:54.400,00:00:55.960,1361,1400
27,00:00:56.000,00:00:59.040,1401,1477
28,00:00:59.080,00:01:02.000,1478,1551
29,00:01:02.040,00:01:04.600,1552,1616
30,00:01:04.640,00:01:06.440,1617,1662
31,00:01:06.480,00:01:08.240,1663,1707
32,00:01:08.280,00:01:10.680,1708,1768
33,00:01:10.720,00:01:14.480,1769,1863
34,00:01:14.520,00:01:16.560,1864,1915
35,00:01:16.600,00:01:18.800,1916,1971
36,00:01:18.840,00:01:26.520,1972,2164
37,00:01:26.560,00:01:28.520,2165,2214
38,00:01:28.560,00:01:30.600,2215,2266
39,00:01:30.640,00:01:32.840,2267,2322
40,00:01:32.880,00:01:34.960,2323,2375
41,00:01:35.000,00:01:36.760,2376,2420
42,00:01:36.800,00:01:41.000,2421,2526
43,00:01:41.040,00:01:43.840,2527,2597
44,00:01:43.880,00:01:47.400,2598,2686
45,00:01:47.440,00:01:50.040,2687,2752
46,00:01:50.080,00:01:52.840,2753,2822
47,00:01:52.880,00:01:54.240,2823,2857
48,00:01:54.280,00:01:55.800,2858,2896
49,00:01:55.840,00:01:57.640,2897,2942
50,00:01:57.680,00:01:59.120,2943,2979
51,00:01:59.160,00:02:00.520,2980,3014
52,00:02:00.560,00:02:01.520,3015,3039
53,00:02:01.560,00:02:04.600,3040,3116
54,00:02:04.640,00:02:05.480,3117,3138
55,00:02:05.520,00:02:06.480,3139,3163
56,00:02:06.520,00:02:08.280,3164,3208
57,00:02:08.320,00:02:09.240,3209,3232
58,00:02:09.280,00:02:10.520,3233,3264
59,00:02:10.560,00:02:13.320,3265,3334
60,00:02:13.360,00:02:14.720,3335,3369
61,00:02:14.760,00:02:18.400,3370,3461
62,00:02:18.440,00:02:19.480,3462,3488
63,00:02:19.520,00:02:21.880,3489,3548
64,00:02:21.920,00:02:23.280,3549,3583
65,00:02:23.320,00:02:28.040,3584,3702
66,00:02:28.080,00:02:30.120,3703,3754
67,00:02:30.160,00:02:31.360,3755,3785
68,00:02:31.400,00:02:35.400,3786,3886
69,00:02:35.440,00:02:37.640,3887,3942
70,00:02:37.680,00:02:42.240,3943,4057
71,00:02:42.280,00:02:44.880,4058,4123
72,00:02:44.920,00:02:45.240,4124,4132
73,00:02:45.280,00:02:45.640,4133,4142
74,00:02:45.680,00:02:46.320,4143,4159
