No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:05.400,1,136
2,00:00:05.440,00:00:11.840,137,297
3,00:00:11.880,00:00:16.200,298,406
4,00:00:16.240,00:00:16.920,407,424
5,00:00:16.960,00:00:19.640,425,492
6,00:00:19.680,00:00:29.680,493,743
7,00:00:29.720,00:00:33.040,744,827
8,00:00:33.080,00:00:35.320,828,884
9,00:00:35.360,00:00:42.120,885,1054
10,00:00:42.160,00:00:44.600,1055,1116
11,00:00:44.640,00:00:46.400,1117,1161
12,00:00:46.440,00:00:52.920,1162,1324
13,00:00:52.960,00:00:54.800,1325,1371
14,00:00:54.840,00:00:55.800,1372,1396
15,00:00:55.840,00:01:00.720,1397,1519
16,00:01:00.760,00:01:02.720,1520,1569
17,00:01:02.760,00:01:06.600,1570,1666
18,00:01:06.640,00:01:10.920,1667,1774
19,00:01:10.960,00:01:15.760,1775,1895
20,00:01:15.800,00:01:17.560,1896,1940
21,00:01:17.600,00:01:22.120,1941,2054
22,00:01:22.160,00:01:24.280,2055,2108
23,00:01:24.320,00:01:27.120,2109,2179
24,00:01:27.160,00:01:29.840,2180,2247
