No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.000,1,51
2,00:00:02.040,00:00:04.080,52,103
3,00:00:04.120,00:00:15.000,104,376
4,00:00:15.040,00:00:18.600,377,466
5,00:00:18.640,00:00:21.600,467,541
6,00:00:21.640,00:00:25.040,542,627
7,00:00:25.080,00:00:46.880,628,1173
8,00:00:46.920,00:00:50.000,1174,1251
9,00:00:50.040,00:00:55.160,1252,1380
10,00:00:55.200,00:01:10.560,1381,1765
11,00:01:10.600,00:01:12.280,1766,1808
12,00:01:12.320,00:01:15.840,1809,1897
13,00:01:15.880,00:01:21.560,1898,2040
14,00:01:21.600,00:01:27.320,2041,2184
15,00:01:27.360,00:01:34.480,2185,2363
16,00:01:34.520,00:01:35.680,2364,2393
17,00:01:35.720,00:01:42.480,2394,2563
18,00:01:42.520,00:01:44.520,2564,2614
19,00:01:44.560,00:01:46.320,2615,2659
20,00:01:46.360,00:01:48.360,2660,2710
21,00:01:48.400,00:01:50.840,2711,2772
22,00:01:50.880,00:01:52.680,2773,2818
23,00:01:52.720,00:01:59.320,2819,2984
24,00:01:59.360,00:02:02.000,2985,3051
25,00:02:02.040,00:02:08.680,3052,3218
26,00:02:08.720,00:02:14.880,3219,3373
27,00:02:14.920,00:02:18.400,3374,3461
28,00:02:18.440,00:02:23.000,3462,3576
29,00:02:23.040,00:02:25.480,3577,3638
30,00:02:25.520,00:02:28.040,3639,3702
31,00:02:28.080,00:02:31.840,3703,3797
32,00:02:31.880,00:02:35.640,3798,3892
