No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.280,1,33
2,00:00:01.320,00:00:04.000,34,101
3,00:00:04.040,00:00:08.400,102,211
4,00:00:08.440,00:00:11.680,212,293
5,00:00:11.720,00:00:14.880,294,373
6,00:00:14.920,00:00:16.240,374,407
7,00:00:16.280,00:00:17.760,408,445
8,00:00:17.800,00:00:20.600,446,516
9,00:00:20.640,00:00:24.640,517,617
10,00:00:24.680,00:00:26.880,618,673
11,00:00:26.920,00:00:27.880,674,698
12,00:00:27.920,00:00:30.400,699,761
13,00:00:30.440,00:00:36.920,762,924
14,00:00:36.960,00:00:39.040,925,977
15,00:00:39.080,00:00:40.840,978,1022
16,00:00:40.880,00:00:42.760,1023,1070
17,00:00:42.800,00:00:46.360,1071,1160
18,00:00:46.400,00:00:50.880,1161,1273
19,00:00:50.920,00:00:55.840,1274,1397
20,00:00:55.880,00:00:57.880,1398,1448
21,00:00:57.920,00:01:01.760,1449,1545
22,00:01:01.800,00:01:03.400,1546,1586
23,00:01:03.440,00:01:06.200,1587,1656
24,00:01:06.240,00:01:07.760,1657,1695
25,00:01:07.800,00:01:15.440,1696,1887
26,00:01:15.480,00:01:18.320,1888,1959
27,00:01:18.360,00:01:22.800,1960,2071
28,00:01:22.840,00:01:24.960,2072,2125
29,00:01:25.000,00:01:29.160,2126,2230
30,00:01:29.200,00:01:32.160,2231,2305
31,00:01:32.200,00:01:34.960,2306,2375
32,00:01:35.000,00:01:37.320,2376,2434
33,00:01:37.360,00:01:39.560,2435,2490
34,00:01:39.600,00:01:41.360,2491,2535
35,00:01:41.400,00:01:44.320,2536,2609
36,00:01:44.360,00:01:46.560,2610,2665
37,00:01:46.600,00:01:48.000,2666,2701
38,00:01:48.040,00:01:50.720,2702,2769
39,00:01:50.760,00:01:52.160,2770,2805
40,00:01:52.200,00:01:57.720,2806,2944
41,00:01:57.760,00:02:00.120,2945,3004
42,00:02:00.160,00:02:02.240,3005,3057
43,00:02:02.280,00:02:06.760,3058,3170
44,00:02:06.800,00:02:09.200,3171,3231
45,00:02:09.240,00:02:11.800,3232,3296
46,00:02:11.840,00:02:13.640,3297,3342
47,00:02:13.680,00:02:15.520,3343,3389
48,00:02:15.560,00:02:19.800,3390,3496
49,00:02:19.840,00:02:21.000,3497,3526
50,00:02:21.040,00:02:22.400,3527,3561
51,00:02:22.440,00:02:25.760,3562,3645
52,00:02:25.800,00:02:30.960,3646,3775
53,00:02:31.000,00:02:33.960,3776,3850
54,00:02:34.000,00:02:36.240,3851,3907
55,00:02:36.280,00:02:37.920,3908,3949
56,00:02:37.960,00:02:40.360,3950,4010
57,00:02:40.400,00:02:45.360,4011,4135
58,00:02:45.400,00:02:48.360,4136,4210
