No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.320,1,9
2,00:00:00.360,00:00:01.600,10,41
3,00:00:01.640,00:00:05.080,42,128
4,00:00:05.120,00:00:26.080,129,653
5,00:00:26.120,00:00:37.440,654,937
6,00:00:37.480,00:00:39.840,938,997
7,00:00:39.880,00:00:43.560,998,1090
8,00:00:43.600,00:00:45.880,1091,1148
9,00:00:45.920,00:00:47.720,1149,1194
10,00:00:47.760,00:00:48.880,1195,1223
11,00:00:48.920,00:00:51.280,1224,1283
12,00:00:51.320,00:00:52.480,1284,1313
13,00:00:52.520,00:00:53.760,1314,1345
14,00:00:53.800,00:00:55.040,1346,1377
15,00:00:55.080,00:00:56.400,1378,1411
