No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.280,1,33
2,00:00:01.320,00:00:03.360,34,85
3,00:00:03.400,00:00:05.960,86,150
4,00:00:06.000,00:00:08.120,151,204
5,00:00:08.160,00:00:09.600,205,241
6,00:00:09.640,00:00:12.200,242,306
7,00:00:12.240,00:00:12.280,307,308
8,00:00:12.320,00:00:14.760,309,370
9,00:00:14.800,00:00:17.040,371,427
10,00:00:17.080,00:00:17.560,428,440
11,00:00:17.600,00:00:18.440,441,462
12,00:00:18.480,00:00:19.960,463,500
13,00:00:20.000,00:00:22.520,501,564
14,00:00:22.560,00:00:25.960,565,650
15,00:00:26.000,00:00:29.280,651,733
16,00:00:29.320,00:00:29.520,734,739
17,00:00:29.560,00:00:31.520,740,789
18,00:00:31.560,00:00:35.280,790,883
19,00:00:35.320,00:00:35.320,884,884
20,00:00:35.360,00:00:40.720,885,1019
21,00:00:40.760,00:00:46.400,1020,1161
22,00:00:46.440,00:00:49.760,1162,1245
23,00:00:49.800,00:00:53.160,1246,1330
24,00:00:53.200,00:00:56.400,1331,1411
25,00:00:56.440,00:01:01.120,1412,1529
26,00:01:01.160,00:01:02.400,1530,1561
27,00:01:02.440,00:01:03.280,1562,1583
28,00:01:03.320,00:01:06.960,1584,1675
29,00:01:07.000,00:01:11.520,1676,1789
30,00:01:11.560,00:01:11.640,1790,1792
