No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.240,1,32
2,00:00:01.280,00:00:01.280,33,33
3,00:00:01.320,00:00:03.920,34,99
4,00:00:03.960,00:00:05.280,100,133
5,00:00:05.320,00:00:06.400,134,161
6,00:00:06.440,00:00:06.440,162,162
7,00:00:06.480,00:00:17.560,163,440
8,00:00:17.600,00:00:19.920,441,499
9,00:00:19.960,00:00:22.880,500,573
10,00:00:22.920,00:00:25.480,574,638
11,00:00:25.520,00:00:28.920,639,724
12,00:00:28.960,00:00:33.760,725,845
13,00:00:33.800,00:00:40.320,846,1009
14,00:00:40.360,00:00:43.040,1010,1077
15,00:00:43.080,00:00:47.160,1078,1180
16,00:00:47.200,00:00:54.400,1181,1361
17,00:00:54.440,00:00:57.240,1362,1432
18,00:00:57.280,00:01:00.720,1433,1519
19,00:01:00.760,00:01:00.760,1520,1520
20,00:01:00.800,00:01:05.120,1521,1629
21,00:01:05.160,00:01:05.160,1630,1630
22,00:01:05.200,00:01:11.000,1631,1776
23,00:01:11.040,00:01:20.720,1777,2019
24,00:01:20.760,00:01:28.960,2020,2225
25,00:01:29.000,00:01:32.720,2226,2319
