No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:08.760,1,220
2,00:00:08.800,00:00:10.000,221,251
3,00:00:10.040,00:00:13.560,252,340
4,00:00:13.600,00:00:21.240,341,532
5,00:00:21.280,00:00:26.040,533,652
6,00:00:26.080,00:00:30.200,653,756
7,00:00:30.240,00:00:37.360,757,935
8,00:00:37.400,00:00:44.080,936,1103
9,00:00:44.120,00:00:45.600,1104,1141
10,00:00:45.640,00:00:50.400,1142,1261
11,00:00:50.440,00:00:53.800,1262,1346
12,00:00:53.840,00:01:11.440,1347,1787
13,00:01:11.480,00:01:11.680,1788,1793
14,00:01:11.720,00:01:13.840,1794,1847
