No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:03.040,1,77
2,00:00:03.080,00:00:06.120,78,154
3,00:00:06.160,00:00:09.360,155,235
4,00:00:09.400,00:00:14.800,236,371
5,00:00:14.840,00:00:19.400,372,486
6,00:00:19.440,00:00:22.240,487,557
7,00:00:22.280,00:00:22.280,558,558
8,00:00:22.320,00:00:22.320,559,559
9,00:00:22.360,00:00:26.120,560,654
10,00:00:26.160,00:00:33.840,655,847
11,00:00:33.880,00:00:36.600,848,916
12,00:00:36.640,00:00:39.440,917,987
13,00:00:39.480,00:00:42.240,988,1057
14,00:00:42.280,00:00:45.720,1058,1144
15,00:00:45.760,00:00:47.800,1145,1196
16,00:00:47.840,00:00:54.840,1197,1372
17,00:00:54.880,00:00:58.040,1373,1452
18,00:00:58.080,00:01:01.040,1453,1527
19,00:01:01.080,00:01:03.240,1528,1582
20,00:01:03.280,00:01:04.920,1583,1624
21,00:01:04.960,00:01:07.560,1625,1690
22,00:01:07.600,00:01:09.080,1691,1728
