No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:07.280,1,183
2,00:00:07.320,00:00:18.080,184,453
3,00:00:18.120,00:00:23.720,454,594
4,00:00:23.760,00:00:30.240,595,757
5,00:00:30.280,00:00:34.360,758,860
6,00:00:34.400,00:00:37.920,861,949
7,00:00:37.960,00:00:39.400,950,986
8,00:00:39.440,00:00:44.320,987,1109
9,00:00:44.360,00:00:47.040,1110,1177
10,00:00:47.080,00:00:48.680,1178,1218
11,00:00:48.720,00:00:52.400,1219,1311
12,00:00:52.440,00:00:56.080,1312,1403
13,00:00:56.120,00:00:58.360,1404,1460
14,00:00:58.400,00:01:00.080,1461,1503
15,00:01:00.120,00:01:02.160,1504,1555
16,00:01:02.200,00:01:07.760,1556,1695
17,00:01:07.800,00:01:09.640,1696,1742
18,00:01:09.680,00:01:11.360,1743,1785
19,00:01:11.400,00:01:13.840,1786,1847
20,00:01:13.880,00:01:16.080,1848,1903
21,00:01:16.120,00:01:17.360,1904,1935
22,00:01:17.400,00:01:31.200,1936,2281
23,00:01:31.240,00:01:36.040,2282,2402
24,00:01:36.080,00:01:38.560,2403,2465
25,00:01:38.600,00:01:41.520,2466,2539
26,00:01:41.560,00:01:43.160,2540,2580
27,00:01:43.200,00:01:44.600,2581,2616
28,00:01:44.640,00:01:46.520,2617,2664
29,00:01:46.560,00:01:52.600,2665,2816
30,00:01:52.640,00:01:54.800,2817,2871
31,00:01:54.840,00:02:00.680,2872,3018
32,00:02:00.720,00:02:02.520,3019,3064
33,00:02:02.560,00:02:04.400,3065,3111
34,00:02:04.440,00:02:07.400,3112,3186
35,00:02:07.440,00:02:09.800,3187,3246
36,00:02:09.840,00:02:11.040,3247,3277
37,00:02:11.080,00:02:12.280,3278,3308
38,00:02:12.320,00:02:16.680,3309,3418
39,00:02:16.720,00:02:24.240,3419,3607
40,00:02:24.280,00:02:25.680,3608,3643
41,00:02:25.720,00:02:30.960,3644,3775
42,00:02:31.000,00:02:32.640,3776,3817
43,00:02:32.680,00:02:47.240,3818,4182
44,00:02:47.280,00:02:49.680,4183,4243
45,00:02:49.720,00:02:52.720,4244,4319
46,00:02:52.760,00:02:57.880,4320,4448
47,00:02:57.920,00:03:04.360,4449,4610
48,00:03:04.400,00:03:07.480,4611,4688
49,00:03:07.520,00:03:10.680,4689,4768
50,00:03:10.720,00:03:12.640,4769,4817
51,00:03:12.680,00:03:13.280,4818,4833
