No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.200,1,6
2,00:00:00.240,00:00:01.240,7,32
3,00:00:01.280,00:00:02.320,33,59
4,00:00:02.360,00:00:03.480,60,88
5,00:00:03.520,00:00:04.240,89,107
6,00:00:04.280,00:00:06.160,108,155
7,00:00:06.200,00:00:09.640,156,242
8,00:00:09.680,00:00:11.040,243,277
9,00:00:11.080,00:00:13.880,278,348
10,00:00:13.920,00:00:14.320,349,359
11,00:00:14.360,00:00:15.480,360,388
12,00:00:15.520,00:00:15.640,389,392
13,00:00:15.680,00:00:16.880,393,423
14,00:00:16.920,00:00:17.840,424,447
15,00:00:17.880,00:00:19.240,448,482
16,00:00:19.280,00:00:20.640,483,517
17,00:00:20.680,00:00:22.560,518,565
18,00:00:22.600,00:00:23.440,566,587
19,00:00:23.480,00:00:26.240,588,657
20,00:00:26.280,00:00:29.720,658,744
21,00:00:29.760,00:00:30.880,745,773
22,00:00:30.920,00:00:36.920,774,924
23,00:00:36.960,00:00:38.600,925,966
24,00:00:38.640,00:00:39.480,967,988
25,00:00:39.520,00:00:40.760,989,1020
26,00:00:40.800,00:00:43.720,1021,1094
27,00:00:43.760,00:00:45.480,1095,1138
28,00:00:45.520,00:00:47.760,1139,1195
29,00:00:47.800,00:00:48.960,1196,1225
30,00:00:49.000,00:00:51.240,1226,1282
31,00:00:51.280,00:00:52.400,1283,1311
32,00:00:52.440,00:00:54.360,1312,1360
33,00:00:54.400,00:00:55.760,1361,1395
34,00:00:55.800,00:00:56.680,1396,1418
35,00:00:56.720,00:00:59.040,1419,1477
36,00:00:59.080,00:01:00.920,1478,1524
37,00:01:00.960,00:01:02.200,1525,1556
38,00:01:02.240,00:01:07.200,1557,1681
39,00:01:07.240,00:01:08.880,1682,1723
40,00:01:08.920,00:01:10.480,1724,1763
41,00:01:10.520,00:01:11.600,1764,1791
42,00:01:11.640,00:01:13.160,1792,1830
43,00:01:13.200,00:01:14.200,1831,1856
44,00:01:14.240,00:01:15.840,1857,1897
45,00:01:15.880,00:01:19.600,1898,1991
46,00:01:19.640,00:01:21.120,1992,2029
47,00:01:21.160,00:01:22.040,2030,2052
48,00:01:22.080,00:01:22.600,2053,2066
49,00:01:22.640,00:01:24.040,2067,2102
50,00:01:24.080,00:01:25.880,2103,2148
51,00:01:25.920,00:01:27.480,2149,2188
52,00:01:27.520,00:01:28.600,2189,2216
53,00:01:28.640,00:01:29.480,2217,2238
54,00:01:29.520,00:01:31.040,2239,2277
55,00:01:31.080,00:01:33.160,2278,2330
56,00:01:33.200,00:01:44.880,2331,2623
57,00:01:44.920,00:01:46.920,2624,2674
58,00:01:46.960,00:01:50.400,2675,2761
59,00:01:50.440,00:01:51.600,2762,2791
60,00:01:51.640,00:01:58.040,2792,2952
61,00:01:58.080,00:01:59.200,2953,2981
62,00:01:59.240,00:02:04.440,2982,3112
63,00:02:04.480,00:02:06.920,3113,3174
64,00:02:06.960,00:02:19.400,3175,3486
65,00:02:19.440,00:02:22.600,3487,3566
66,00:02:22.640,00:02:25.240,3567,3632
67,00:02:25.280,00:02:26.920,3633,3674
68,00:02:26.960,00:02:41.360,3675,4035
69,00:02:41.400,00:02:43.400,4036,4086
70,00:02:43.440,00:02:45.000,4087,4126
71,00:02:45.040,00:02:46.040,4127,4152
72,00:02:46.080,00:02:46.480,4153,4163
73,00:02:46.520,00:02:50.920,4164,4274
74,00:02:50.960,00:02:52.360,4275,4310
75,00:02:52.400,00:02:58.520,4311,4464
76,00:02:58.560,00:03:02.360,4465,4560
