No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:05.120,1,129
2,00:00:05.160,00:00:07.080,130,178
3,00:00:07.120,00:00:09.120,179,229
4,00:00:09.160,00:00:10.760,230,270
5,00:00:10.800,00:00:13.560,271,340
6,00:00:13.600,00:00:14.760,341,370
7,00:00:14.800,00:00:18.400,371,461
8,00:00:18.440,00:00:20.600,462,516
9,00:00:20.640,00:00:21.640,517,542
10,00:00:21.680,00:00:24.600,543,616
11,00:00:24.640,00:00:27.040,617,677
12,00:00:27.080,00:00:29.240,678,732
13,00:00:29.280,00:00:34.520,733,864
14,00:00:34.560,00:00:35.240,865,882
15,00:00:35.280,00:00:36.520,883,914
16,00:00:36.560,00:00:37.680,915,943
17,00:00:37.720,00:00:39.800,944,996
18,00:00:39.840,00:00:41.760,997,1045
19,00:00:41.800,00:00:44.160,1046,1105
20,00:00:44.200,00:00:45.560,1106,1140
21,00:00:45.600,00:00:47.360,1141,1185
22,00:00:47.400,00:00:48.400,1186,1211
23,00:00:48.440,00:00:50.200,1212,1256
24,00:00:50.240,00:00:52.240,1257,1307
25,00:00:52.280,00:00:54.320,1308,1359
26,00:00:54.360,00:00:56.720,1360,1419
27,00:00:56.760,00:00:58.840,1420,1472
28,00:00:58.880,00:01:04.880,1473,1623
29,00:01:04.920,00:01:14.600,1624,1866
30,00:01:14.640,00:01:17.760,1867,1945
31,00:01:17.800,00:01:19.360,1946,1985
32,00:01:19.400,00:01:21.800,1986,2046
33,00:01:21.840,00:01:28.120,2047,2204
34,00:01:28.160,00:01:30.880,2205,2273
35,00:01:30.920,00:01:33.280,2274,2333
36,00:01:33.320,00:01:34.960,2334,2375
37,00:01:35.000,00:01:36.120,2376,2404
38,00:01:36.160,00:01:40.480,2405,2513
39,00:01:40.520,00:01:42.320,2514,2559
40,00:01:42.360,00:01:44.800,2560,2621
41,00:01:44.840,00:01:49.280,2622,2733
42,00:01:49.320,00:01:51.800,2734,2796
43,00:01:51.840,00:01:57.120,2797,2929
44,00:01:57.160,00:02:00.080,2930,3003
45,00:02:00.120,00:02:01.920,3004,3049
46,00:02:01.960,00:02:04.120,3050,3104
47,00:02:04.160,00:02:07.400,3105,3186
48,00:02:07.440,00:02:08.880,3187,3223
49,00:02:08.920,00:02:10.680,3224,3268
50,00:02:10.720,00:02:12.320,3269,3309
51,00:02:12.360,00:02:14.440,3310,3362
52,00:02:14.480,00:02:15.960,3363,3400
53,00:02:16.000,00:02:17.320,3401,3434
54,00:02:17.360,00:02:18.800,3435,3471
55,00:02:18.840,00:02:23.080,3472,3578
56,00:02:23.120,00:02:23.520,3579,3589
57,00:02:23.560,00:02:24.680,3590,3618
58,00:02:24.720,00:02:24.840,3619,3622
59,00:02:24.880,00:02:26.080,3623,3653
60,00:02:26.120,00:02:27.040,3654,3677
61,00:02:27.080,00:02:28.160,3678,3705
62,00:02:28.200,00:02:29.720,3706,3744
63,00:02:29.760,00:02:32.360,3745,3810
64,00:02:32.400,00:02:33.240,3811,3832
65,00:02:33.280,00:02:39.120,3833,3979
66,00:02:39.160,00:02:42.680,3980,4068
67,00:02:42.720,00:02:45.640,4069,4142
68,00:02:45.680,00:02:47.840,4143,4197
69,00:02:47.880,00:02:49.280,4198,4233
70,00:02:49.320,00:02:52.320,4234,4309
71,00:02:52.360,00:02:57.720,4310,4444
72,00:02:57.760,00:02:59.680,4445,4493
73,00:02:59.720,00:03:02.400,4494,4561
