No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.280,1,58
2,00:00:02.320,00:00:04.920,59,124
3,00:00:04.960,00:00:06.560,125,165
4,00:00:06.600,00:00:08.480,166,213
5,00:00:08.520,00:00:12.920,214,324
6,00:00:12.960,00:00:15.720,325,394
7,00:00:15.760,00:00:18.560,395,465
8,00:00:18.600,00:00:20.280,466,508
9,00:00:20.320,00:00:23.040,509,577
10,00:00:23.080,00:00:26.400,578,661
11,00:00:26.440,00:00:29.720,662,744
12,00:00:29.760,00:00:31.600,745,791
13,00:00:31.640,00:00:31.640,792,792
14,00:00:31.680,00:00:31.680,793,793
15,00:00:31.720,00:00:35.480,794,888
16,00:00:35.520,00:00:35.600,889,891
17,00:00:35.640,00:00:37.360,892,935
18,00:00:37.400,00:00:39.240,936,982
19,00:00:39.280,00:00:43.840,983,1097
20,00:00:43.880,00:00:46.560,1098,1165
21,00:00:46.600,00:00:48.440,1166,1212
22,00:00:48.480,00:00:53.160,1213,1330
23,00:00:53.200,00:00:55.920,1331,1399
24,00:00:55.960,00:00:58.200,1400,1456
25,00:00:58.240,00:01:00.280,1457,1508
26,00:01:00.320,00:01:02.560,1509,1565
27,00:01:02.600,00:01:05.080,1566,1628
28,00:01:05.120,00:01:06.760,1629,1670
29,00:01:06.800,00:01:08.360,1671,1710
30,00:01:08.400,00:01:11.760,1711,1795
31,00:01:11.800,00:01:15.560,1796,1890
32,00:01:15.600,00:01:17.680,1891,1943
33,00:01:17.720,00:01:18.440,1944,1962
34,00:01:18.480,00:01:27.240,1963,2182
35,00:01:27.280,00:01:29.400,2183,2236
36,00:01:29.440,00:01:32.280,2237,2308
37,00:01:32.320,00:01:34.080,2309,2353
38,00:01:34.120,00:01:39.280,2354,2483
39,00:01:39.320,00:01:42.280,2484,2558
40,00:01:42.320,00:01:44.280,2559,2608
41,00:01:44.320,00:01:47.160,2609,2680
42,00:01:47.200,00:01:51.680,2681,2793
43,00:01:51.720,00:01:54.840,2794,2872
44,00:01:54.880,00:01:59.040,2873,2977
45,00:01:59.080,00:02:03.000,2978,3076
46,00:02:03.040,00:02:03.040,3077,3077
47,00:02:03.080,00:02:03.080,3078,3078
48,00:02:03.120,00:02:21.120,3079,3529
49,00:02:21.160,00:02:34.040,3530,3852
50,00:02:34.080,00:02:40.240,3853,4007
