No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:05.200,1,131
2,00:00:05.240,00:00:11.360,132,285
3,00:00:11.400,00:00:13.920,286,349
4,00:00:13.960,00:00:18.520,350,464
5,00:00:18.560,00:00:21.760,465,545
6,00:00:21.800,00:00:23.640,546,592
7,00:00:23.680,00:00:26.040,593,652
8,00:00:26.080,00:00:33.600,653,841
9,00:00:33.640,00:00:37.120,842,929
10,00:00:37.160,00:00:38.400,930,961
11,00:00:38.440,00:00:44.840,962,1122
12,00:00:44.880,00:00:49.520,1123,1239
13,00:00:49.560,00:00:52.440,1240,1312
14,00:00:52.480,00:00:55.680,1313,1393
15,00:00:55.720,00:00:58.400,1394,1461
16,00:00:58.440,00:01:01.640,1462,1542
17,00:01:01.680,00:01:02.880,1543,1573
18,00:01:02.920,00:01:03.960,1574,1600
19,00:01:04.000,00:01:05.280,1601,1633
20,00:01:05.320,00:01:07.240,1634,1682
21,00:01:07.280,00:01:12.040,1683,1802
22,00:01:12.080,00:01:17.680,1803,1943
23,00:01:17.720,00:01:23.480,1944,2088
24,00:01:23.520,00:01:27.800,2089,2196
25,00:01:27.840,00:01:33.080,2197,2328
26,00:01:33.120,00:01:37.360,2329,2435
27,00:01:37.400,00:01:40.680,2436,2518
28,00:01:40.720,00:01:41.920,2519,2549
29,00:01:41.960,00:01:43.080,2550,2578
30,00:01:43.120,00:01:47.960,2579,2700
31,00:01:48.000,00:01:52.280,2701,2808
32,00:01:52.320,00:01:53.880,2809,2848
33,00:01:53.920,00:02:00.840,2849,3022
34,00:02:00.880,00:02:06.280,3023,3158
35,00:02:06.320,00:02:08.320,3159,3209
36,00:02:08.360,00:02:16.720,3210,3419
37,00:02:16.760,00:02:21.280,3420,3533
38,00:02:21.320,00:02:34.360,3534,3860
39,00:02:34.400,00:02:36.080,3861,3903
40,00:02:36.120,00:02:38.200,3904,3956
41,00:02:38.240,00:02:39.560,3957,3990
42,00:02:39.600,00:02:41.480,3991,4038
43,00:02:41.520,00:02:50.880,4039,4273
44,00:02:50.920,00:02:53.000,4274,4326
45,00:02:53.040,00:02:55.640,4327,4392
46,00:02:55.680,00:02:57.240,4393,4432
47,00:02:57.280,00:02:58.520,4433,4464
48,00:02:58.560,00:03:01.800,4465,4546
49,00:03:01.840,00:03:08.320,4547,4709
50,00:03:08.360,00:03:11.600,4710,4791
51,00:03:11.640,00:03:12.120,4792,4804
