No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.800,1,21
2,00:00:00.840,00:00:03.080,22,78
3,00:00:03.120,00:00:05.480,79,138
4,00:00:05.520,00:00:13.400,139,336
5,00:00:13.440,00:00:13.480,337,338
6,00:00:13.520,00:00:13.520,339,339
7,00:00:13.560,00:00:15.000,340,376
8,00:00:15.040,00:00:17.560,377,440
9,00:00:17.600,00:00:19.760,441,495
10,00:00:19.800,00:00:22.400,496,561
11,00:00:22.440,00:00:24.120,562,604
12,00:00:24.160,00:00:27.600,605,691
13,00:00:27.640,00:00:30.320,692,759
14,00:00:30.360,00:00:33.440,760,837
15,00:00:33.480,00:00:36.640,838,917
16,00:00:36.680,00:00:39.760,918,995
17,00:00:39.800,00:00:42.680,996,1068
18,00:00:42.720,00:00:46.400,1069,1161
19,00:00:46.440,00:00:49.760,1162,1245
20,00:00:49.800,00:00:51.560,1246,1290
21,00:00:51.600,00:00:51.680,1291,1293
22,00:00:51.720,00:00:57.120,1294,1429
23,00:00:57.160,00:00:57.200,1430,1431
24,00:00:57.240,00:00:57.240,1432,1432
25,00:00:57.280,00:00:58.320,1433,1459
26,00:00:58.360,00:01:00.520,1460,1514
27,00:01:00.560,00:01:02.200,1515,1556
28,00:01:02.240,00:01:02.320,1557,1559
29,00:01:02.360,00:01:11.840,1560,1797
30,00:01:11.880,00:01:11.960,1798,1800
31,00:01:12.000,00:01:16.840,1801,1922
32,00:01:16.880,00:01:18.600,1923,1966
33,00:01:18.640,00:01:19.800,1967,1996
34,00:01:19.840,00:01:22.160,1997,2055
35,00:01:22.200,00:01:24.280,2056,2108
36,00:01:24.320,00:01:27.200,2109,2181
37,00:01:27.240,00:01:28.240,2182,2207
38,00:01:28.280,00:01:32.120,2208,2304
39,00:01:32.160,00:01:35.120,2305,2379
40,00:01:35.160,00:01:37.040,2380,2427
41,00:01:37.080,00:01:38.520,2428,2464
42,00:01:38.560,00:01:42.040,2465,2552
43,00:01:42.080,00:01:46.760,2553,2670
44,00:01:46.800,00:01:50.480,2671,2763
45,00:01:50.520,00:01:52.720,2764,2819
46,00:01:52.760,00:01:57.400,2820,2936
47,00:01:57.440,00:02:01.440,2937,3037
48,00:02:01.480,00:02:03.360,3038,3085
49,00:02:03.400,00:02:08.880,3086,3223
50,00:02:08.920,00:02:15.520,3224,3389
51,00:02:15.560,00:02:17.640,3390,3442
52,00:02:17.680,00:02:19.400,3443,3486
53,00:02:19.440,00:02:19.520,3487,3489
54,00:02:19.560,00:02:31.240,3490,3782
55,00:02:31.280,00:02:31.280,3783,3783
56,00:02:31.320,00:02:32.640,3784,3817
57,00:02:32.680,00:02:36.400,3818,3911
58,00:02:36.440,00:02:38.760,3912,3970
59,00:02:38.800,00:02:42.280,3971,4058
60,00:02:42.320,00:02:46.600,4059,4166
61,00:02:46.640,00:02:49.680,4167,4243
62,00:02:49.720,00:02:51.360,4244,4285
63,00:02:51.400,00:02:53.680,4286,4343
64,00:02:53.720,00:02:56.960,4344,4425
65,00:02:57.000,00:03:00.160,4426,4505
66,00:03:00.200,00:03:02.280,4506,4558
67,00:03:02.320,00:03:02.600,4559,4566
