No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.680,1,18
2,00:00:00.720,00:00:01.960,19,50
3,00:00:02.000,00:00:03.240,51,82
4,00:00:03.280,00:00:04.160,83,105
5,00:00:04.200,00:00:06.000,106,151
6,00:00:06.040,00:00:07.400,152,186
7,00:00:07.440,00:00:08.320,187,209
8,00:00:08.360,00:00:08.960,210,225
9,00:00:09.000,00:00:09.720,226,244
10,00:00:09.760,00:00:10.360,245,260
11,00:00:10.400,00:00:11.480,261,288
12,00:00:11.520,00:00:12.040,289,302
13,00:00:12.080,00:00:12.640,303,317
14,00:00:12.680,00:00:13.040,318,327
15,00:00:13.080,00:00:13.480,328,338
16,00:00:13.520,00:00:14.280,339,358
17,00:00:14.320,00:00:15.280,359,383
18,00:00:15.320,00:00:16.680,384,418
19,00:00:16.720,00:00:17.520,419,439
20,00:00:17.560,00:00:18.240,440,457
21,00:00:18.280,00:00:19.080,458,478
22,00:00:19.120,00:00:20.840,479,522
23,00:00:20.880,00:00:21.480,523,538
24,00:00:21.520,00:00:23.720,539,594
25,00:00:23.760,00:00:24.120,595,604
26,00:00:24.160,00:00:24.800,605,621
27,00:00:24.840,00:00:25.600,622,641
28,00:00:25.640,00:00:26.600,642,666
29,00:00:26.640,00:00:27.200,667,681
30,00:00:27.240,00:00:27.600,682,691
31,00:00:27.640,00:00:29.040,692,727
32,00:00:29.080,00:00:29.520,728,739
33,00:00:29.560,00:00:30.280,740,758
34,00:00:30.320,00:00:30.880,759,773
35,00:00:30.920,00:00:31.560,774,790
36,00:00:31.600,00:00:33.600,791,841
37,00:00:33.640,00:00:35.280,842,883
38,00:00:35.320,00:00:36.080,884,903
39,00:00:36.120,00:00:39.360,904,985
40,00:00:39.400,00:00:40.040,986,1002
41,00:00:40.080,00:00:41.240,1003,1032
42,00:00:41.280,00:00:41.760,1033,1045
43,00:00:41.800,00:00:42.960,1046,1075
44,00:00:43.000,00:00:45.080,1076,1128
45,00:00:45.120,00:00:45.760,1129,1145
46,00:00:45.800,00:00:46.800,1146,1171
47,00:00:46.840,00:00:47.600,1172,1191
48,00:00:47.640,00:00:50.800,1192,1271
49,00:00:50.840,00:00:51.680,1272,1293
50,00:00:51.720,00:00:52.480,1294,1313
51,00:00:52.520,00:00:53.600,1314,1341
52,00:00:53.640,00:00:54.120,1342,1354
53,00:00:54.160,00:00:54.800,1355,1371
54,00:00:54.840,00:00:56.440,1372,1412
55,00:00:56.480,00:00:56.600,1413,1416
56,00:00:56.640,00:00:58.400,1417,1461
57,00:00:58.440,00:01:00.000,1462,1501
58,00:01:00.040,00:01:03.320,1502,1584
59,00:01:03.360,00:01:05.480,1585,1638
60,00:01:05.520,00:01:08.080,1639,1703
61,00:01:08.120,00:01:12.840,1704,1822
62,00:01:12.880,00:01:16.240,1823,1907
63,00:01:16.280,00:01:19.960,1908,2000
64,00:01:20.000,00:01:21.400,2001,2036
65,00:01:21.440,00:01:22.760,2037,2070
66,00:01:22.800,00:01:25.120,2071,2129
67,00:01:25.160,00:01:27.000,2130,2176
68,00:01:27.040,00:01:29.000,2177,2226
69,00:01:29.040,00:01:30.360,2227,2260
70,00:01:30.400,00:01:32.840,2261,2322
71,00:01:32.880,00:01:34.680,2323,2368
72,00:01:34.720,00:01:37.440,2369,2437
73,00:01:37.480,00:01:39.040,2438,2477
74,00:01:39.080,00:01:40.480,2478,2513
75,00:01:40.520,00:01:41.600,2514,2541
76,00:01:41.640,00:01:43.120,2542,2579
77,00:01:43.160,00:01:45.760,2580,2645
78,00:01:45.800,00:01:47.360,2646,2685
79,00:01:47.400,00:01:49.000,2686,2726
80,00:01:49.040,00:01:50.120,2727,2754
81,00:01:50.160,00:01:51.000,2755,2776
82,00:01:51.040,00:01:52.480,2777,2813
83,00:01:52.520,00:01:54.600,2814,2866
84,00:01:54.640,00:01:56.320,2867,2909
85,00:01:56.360,00:01:57.960,2910,2950
86,00:01:58.000,00:01:59.480,2951,2988
87,00:01:59.520,00:02:02.840,2989,3072
88,00:02:02.880,00:02:03.880,3073,3098
89,00:02:03.920,00:02:04.960,3099,3125
90,00:02:05.000,00:02:06.080,3126,3153
91,00:02:06.120,00:02:09.160,3154,3230
92,00:02:09.200,00:02:10.320,3231,3259
93,00:02:10.360,00:02:12.480,3260,3313
94,00:02:12.520,00:02:14.440,3314,3362
95,00:02:14.480,00:02:14.680,3363,3368
96,00:02:14.720,00:02:15.240,3369,3382
97,00:02:15.280,00:02:15.920,3383,3399
98,00:02:15.960,00:02:16.520,3400,3414
99,00:02:16.560,00:02:17.040,3415,3427
100,00:02:17.080,00:02:17.440,3428,3437
101,00:02:17.480,00:02:18.440,3438,3462
102,00:02:18.480,00:02:19.360,3463,3485
103,00:02:19.400,00:02:20.440,3486,3512
104,00:02:20.480,00:02:20.880,3513,3523
105,00:02:20.920,00:02:22.680,3524,3568
106,00:02:22.720,00:02:23.560,3569,3590
107,00:02:23.600,00:02:24.440,3591,3612
108,00:02:24.480,00:02:25.080,3613,3628
109,00:02:25.120,00:02:25.680,3629,3643
110,00:02:25.720,00:02:27.160,3644,3680
111,00:02:27.200,00:02:27.960,3681,3700
112,00:02:28.000,00:02:28.480,3701,3713
113,00:02:28.520,00:02:29.000,3714,3726
114,00:02:29.040,00:02:29.760,3727,3745
115,00:02:29.800,00:02:30.440,3746,3762
116,00:02:30.480,00:02:31.840,3763,3797
117,00:02:31.880,00:02:34.120,3798,3854
118,00:02:34.160,00:02:34.680,3855,3868
119,00:02:34.720,00:02:35.520,3869,3889
120,00:02:35.560,00:02:36.960,3890,3925
121,00:02:37.000,00:02:37.440,3926,3937
122,00:02:37.480,00:02:38.960,3938,3975
123,00:02:39.000,00:02:41.000,3976,4026
124,00:02:41.040,00:02:41.520,4027,4039
125,00:02:41.560,00:02:43.400,4040,4086
126,00:02:43.440,00:02:45.600,4087,4141
127,00:02:45.640,00:02:46.920,4142,4174
128,00:02:46.960,00:02:48.640,4175,4217
129,00:02:48.680,00:02:49.840,4218,4247
130,00:02:49.880,00:02:50.720,4248,4269
131,00:02:50.760,00:02:51.560,4270,4290
132,00:02:51.600,00:02:52.120,4291,4304
133,00:02:52.160,00:02:52.800,4305,4321
134,00:02:52.840,00:02:53.520,4322,4339
135,00:02:53.560,00:02:54.720,4340,4369
136,00:02:54.760,00:02:55.400,4370,4386
137,00:02:55.440,00:02:57.840,4387,4447
138,00:02:57.880,00:02:59.480,4448,4488
139,00:02:59.520,00:03:02.400,4489,4561
