No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.280,1,8
2,00:00:00.320,00:00:01.120,9,29
3,00:00:01.160,00:00:02.240,30,57
4,00:00:02.280,00:00:03.080,58,78
5,00:00:03.120,00:00:04.280,79,108
6,00:00:04.320,00:00:05.400,109,136
7,00:00:05.440,00:00:05.960,137,150
8,00:00:06.000,00:00:06.560,151,165
9,00:00:06.600,00:00:07.400,166,186
10,00:00:07.440,00:00:09.000,187,226
11,00:00:09.040,00:00:09.920,227,249
12,00:00:09.960,00:00:11.720,250,294
13,00:00:11.760,00:00:12.600,295,316
14,00:00:12.640,00:00:13.760,317,345
15,00:00:13.800,00:00:14.480,346,363
16,00:00:14.520,00:00:14.920,364,374
17,00:00:14.960,00:00:16.160,375,405
18,00:00:16.200,00:00:16.960,406,425
19,00:00:17.000,00:00:18.000,426,451
20,00:00:18.040,00:00:20.200,452,506
21,00:00:20.240,00:00:21.480,507,538
22,00:00:21.520,00:00:22.120,539,554
23,00:00:22.160,00:00:23.080,555,578
24,00:00:23.120,00:00:23.960,579,600
25,00:00:24.000,00:00:24.520,601,614
26,00:00:24.560,00:00:26.200,615,656
27,00:00:26.240,00:00:28.120,657,704
28,00:00:28.160,00:00:29.400,705,736
29,00:00:29.440,00:00:30.360,737,760
30,00:00:30.400,00:00:31.600,761,791
31,00:00:31.640,00:00:32.920,792,824
32,00:00:32.960,00:00:33.680,825,843
33,00:00:33.720,00:00:34.400,844,861
34,00:00:34.440,00:00:37.760,862,945
35,00:00:37.800,00:00:39.360,946,985
36,00:00:39.400,00:00:40.320,986,1009
37,00:00:40.360,00:00:42.240,1010,1057
38,00:00:42.280,00:00:43.280,1058,1083
39,00:00:43.320,00:00:44.520,1084,1114
40,00:00:44.560,00:00:45.480,1115,1138
41,00:00:45.520,00:00:46.360,1139,1160
42,00:00:46.400,00:00:46.920,1161,1174
43,00:00:46.960,00:00:47.720,1175,1194
44,00:00:47.760,00:00:49.120,1195,1229
45,00:00:49.160,00:00:50.400,1230,1261
46,00:00:50.440,00:00:53.320,1262,1334
47,00:00:53.360,00:00:54.280,1335,1358
48,00:00:54.320,00:00:55.560,1359,1390
49,00:00:55.600,00:00:57.160,1391,1430
50,00:00:57.200,00:00:59.600,1431,1491
51,00:00:59.640,00:01:00.440,1492,1512
52,00:01:00.480,00:01:02.320,1513,1559
53,00:01:02.360,00:01:03.560,1560,1590
54,00:01:03.600,00:01:04.920,1591,1624
55,00:01:04.960,00:01:05.080,1625,1628
56,00:01:05.120,00:01:06.440,1629,1662
57,00:01:06.480,00:01:08.120,1663,1704
58,00:01:08.160,00:01:09.600,1705,1741
59,00:01:09.640,00:01:11.680,1742,1793
60,00:01:11.720,00:01:13.160,1794,1830
61,00:01:13.200,00:01:14.480,1831,1863
62,00:01:14.520,00:01:17.280,1864,1933
63,00:01:17.320,00:01:19.360,1934,1985
64,00:01:19.400,00:01:22.400,1986,2061
65,00:01:22.440,00:01:30.560,2062,2265
66,00:01:30.600,00:01:35.000,2266,2376
67,00:01:35.040,00:01:38.320,2377,2459
68,00:01:38.360,00:01:43.680,2460,2593
69,00:01:43.720,00:01:47.920,2594,2699
70,00:01:47.960,00:01:50.120,2700,2754
71,00:01:50.160,00:01:53.440,2755,2837
72,00:01:53.480,00:01:55.720,2838,2894
73,00:01:55.760,00:01:58.160,2895,2955
74,00:01:58.200,00:02:00.240,2956,3007
75,00:02:00.280,00:02:01.840,3008,3047
76,00:02:01.880,00:02:03.560,3048,3090
77,00:02:03.600,00:02:04.600,3091,3116
78,00:02:04.640,00:02:05.440,3117,3137
79,00:02:05.480,00:02:07.960,3138,3200
80,00:02:08.000,00:02:10.160,3201,3255
81,00:02:10.200,00:02:12.880,3256,3323
82,00:02:12.920,00:02:14.160,3324,3355
83,00:02:14.200,00:02:15.600,3356,3391
84,00:02:15.640,00:02:18.840,3392,3472
85,00:02:18.880,00:02:20.960,3473,3525
86,00:02:21.000,00:02:22.360,3526,3560
87,00:02:22.400,00:02:23.920,3561,3599
88,00:02:23.960,00:02:25.040,3600,3627
89,00:02:25.080,00:02:26.520,3628,3664
90,00:02:26.560,00:02:28.480,3665,3713
91,00:02:28.520,00:02:30.440,3714,3762
92,00:02:30.480,00:02:32.960,3763,3825
93,00:02:33.000,00:02:34.400,3826,3861
94,00:02:34.440,00:02:37.040,3862,3927
95,00:02:37.080,00:02:39.360,3928,3985
96,00:02:39.400,00:02:41.960,3986,4050
97,00:02:42.000,00:02:44.360,4051,4110
98,00:02:44.400,00:02:46.280,4111,4158
99,00:02:46.320,00:02:48.160,4159,4205
100,00:02:48.200,00:02:50.000,4206,4251
101,00:02:50.040,00:02:51.240,4252,4282
102,00:02:51.280,00:02:53.760,4283,4345
103,00:02:53.800,00:02:56.920,4346,4424
104,00:02:56.960,00:02:58.360,4425,4460
105,00:02:58.400,00:03:00.040,4461,4502
106,00:03:00.080,00:03:02.960,4503,4575
107,00:03:03.000,00:03:04.760,4576,4620
108,00:03:04.800,00:03:07.080,4621,4678
109,00:03:07.120,00:03:08.960,4679,4725
110,00:03:09.000,00:03:11.040,4726,4777
111,00:03:11.080,00:03:11.200,4778,4781
