No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.960,1,50
2,00:00:02.000,00:00:07.040,51,177
3,00:00:07.080,00:00:08.960,178,225
4,00:00:09.000,00:00:11.840,226,297
5,00:00:11.880,00:00:24.160,298,605
6,00:00:24.200,00:00:28.000,606,701
7,00:00:28.040,00:00:30.400,702,761
8,00:00:30.440,00:00:32.840,762,822
9,00:00:32.880,00:00:37.200,823,931
10,00:00:37.240,00:00:39.040,932,977
11,00:00:39.080,00:00:44.600,978,1116
12,00:00:44.640,00:00:47.800,1117,1196
13,00:00:47.840,00:00:53.760,1197,1345
14,00:00:53.800,00:00:56.720,1346,1419
15,00:00:56.760,00:00:58.320,1420,1459
16,00:00:58.360,00:01:01.800,1460,1546
17,00:01:01.840,00:01:03.920,1547,1599
18,00:01:03.960,00:01:05.600,1600,1641
19,00:01:05.640,00:01:07.520,1642,1689
20,00:01:07.560,00:01:09.400,1690,1736
21,00:01:09.440,00:01:11.560,1737,1790
22,00:01:11.600,00:01:15.520,1791,1889
23,00:01:15.560,00:01:19.280,1890,1983
24,00:01:19.320,00:01:22.120,1984,2054
25,00:01:22.160,00:01:26.760,2055,2170
26,00:01:26.800,00:01:29.840,2171,2247
27,00:01:29.880,00:01:31.280,2248,2283
28,00:01:31.320,00:01:33.400,2284,2336
29,00:01:33.440,00:01:38.240,2337,2457
30,00:01:38.280,00:01:43.640,2458,2592
31,00:01:43.680,00:01:47.840,2593,2697
32,00:01:47.880,00:01:52.360,2698,2810
33,00:01:52.400,00:01:56.600,2811,2916
34,00:01:56.640,00:01:59.680,2917,2993
35,00:01:59.720,00:02:01.480,2994,3038
36,00:02:01.520,00:02:03.320,3039,3084
37,00:02:03.360,00:02:04.800,3085,3121
38,00:02:04.840,00:02:09.240,3122,3232
39,00:02:09.280,00:02:11.720,3233,3294
40,00:02:11.760,00:02:13.800,3295,3346
41,00:02:13.840,00:02:16.040,3347,3402
42,00:02:16.080,00:02:18.720,3403,3469
43,00:02:18.760,00:02:23.640,3470,3592
44,00:02:23.680,00:02:27.040,3593,3677
45,00:02:27.080,00:02:29.040,3678,3727
46,00:02:29.080,00:02:32.160,3728,3805
47,00:02:32.200,00:02:34.280,3806,3858
48,00:02:34.320,00:02:41.880,3859,4048
49,00:02:41.920,00:02:45.040,4049,4127
50,00:02:45.080,00:02:49.800,4128,4246
51,00:02:49.840,00:02:53.560,4247,4340
52,00:02:53.600,00:02:58.720,4341,4469
53,00:02:58.760,00:03:01.040,4470,4527
54,00:03:01.080,00:03:05.160,4528,4630
