No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:04.120,1,104
2,00:00:04.160,00:00:12.440,105,312
3,00:00:12.480,00:00:15.360,313,385
4,00:00:15.400,00:00:17.840,386,447
5,00:00:17.880,00:00:19.800,448,496
6,00:00:19.840,00:00:25.960,497,650
7,00:00:26.000,00:00:28.280,651,708
8,00:00:28.320,00:00:30.760,709,770
9,00:00:30.800,00:00:34.720,771,869
10,00:00:34.760,00:00:37.040,870,927
11,00:00:37.080,00:00:39.960,928,1000
12,00:00:40.000,00:00:41.400,1001,1036
13,00:00:41.440,00:00:44.320,1037,1109
14,00:00:44.360,00:00:46.760,1110,1170
15,00:00:46.800,00:00:47.880,1171,1198
16,00:00:47.920,00:00:54.040,1199,1352
17,00:00:54.080,00:00:58.000,1353,1451
18,00:00:58.040,00:01:00.720,1452,1519
19,00:01:00.760,00:01:10.160,1520,1755
20,00:01:10.200,00:01:17.000,1756,1926
21,00:01:17.040,00:01:18.440,1927,1962
22,00:01:18.480,00:01:21.840,1963,2047
23,00:01:21.880,00:01:24.000,2048,2101
24,00:01:24.040,00:01:27.800,2102,2196
