No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.480,1,13
2,00:00:00.520,00:00:02.960,14,75
3,00:00:03.000,00:00:04.320,76,109
4,00:00:04.360,00:00:08.880,110,223
5,00:00:08.920,00:00:10.520,224,264
6,00:00:10.560,00:00:11.840,265,297
7,00:00:11.880,00:00:13.080,298,328
8,00:00:13.120,00:00:13.640,329,342
9,00:00:13.680,00:00:17.040,343,427
10,00:00:17.080,00:00:19.720,428,494
11,00:00:19.760,00:00:20.840,495,522
12,00:00:20.880,00:00:21.560,523,540
13,00:00:21.600,00:00:22.000,541,551
14,00:00:22.040,00:00:22.520,552,564
15,00:00:22.560,00:00:22.800,565,571
16,00:00:22.840,00:00:23.960,572,600
17,00:00:24.000,00:00:25.000,601,626
18,00:00:25.040,00:00:28.480,627,713
19,00:00:28.520,00:00:37.240,714,932
20,00:00:37.280,00:00:38.440,933,962
