No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:07.880,1,198
2,00:00:07.920,00:00:10.480,199,263
3,00:00:10.520,00:00:19.840,264,497
4,00:00:19.880,00:00:22.520,498,564
5,00:00:22.560,00:00:25.320,565,634
6,00:00:25.360,00:00:39.920,635,999
7,00:00:39.960,00:01:01.440,1000,1537
8,00:01:01.480,00:01:11.640,1538,1792
9,00:01:11.680,00:01:21.000,1793,2026
10,00:01:21.040,00:01:22.000,2027,2051
11,00:01:22.040,00:01:24.040,2052,2102
12,00:01:24.080,00:01:26.680,2103,2168
13,00:01:26.720,00:01:27.760,2169,2195
14,00:01:27.800,00:01:30.920,2196,2274
15,00:01:30.960,00:01:32.200,2275,2306
16,00:01:32.240,00:01:34.960,2307,2375
17,00:01:35.000,00:01:35.560,2376,2390
18,00:01:35.600,00:01:36.760,2391,2420
19,00:01:36.800,00:01:37.760,2421,2445
20,00:01:37.800,00:01:38.280,2446,2458
21,00:01:38.320,00:01:39.040,2459,2477
22,00:01:39.080,00:01:40.520,2478,2514
23,00:01:40.560,00:01:41.080,2515,2528
24,00:01:41.120,00:01:42.520,2529,2564
25,00:01:42.560,00:01:42.880,2565,2573
26,00:01:42.920,00:01:43.320,2574,2584
27,00:01:43.360,00:01:43.720,2585,2594
28,00:01:43.760,00:01:44.600,2595,2616
29,00:01:44.640,00:01:48.440,2617,2712
30,00:01:48.480,00:01:48.920,2713,2724
31,00:01:48.960,00:01:50.040,2725,2752
32,00:01:50.080,00:01:50.800,2753,2771
33,00:01:50.840,00:01:51.560,2772,2790
34,00:01:51.600,00:01:52.560,2791,2815
35,00:01:52.600,00:01:54.520,2816,2864
36,00:01:54.560,00:01:58.280,2865,2958
37,00:01:58.320,00:02:00.960,2959,3025
38,00:02:01.000,00:02:03.440,3026,3087
39,00:02:03.480,00:02:07.200,3088,3181
40,00:02:07.240,00:02:08.560,3182,3215
41,00:02:08.600,00:02:09.440,3216,3237
42,00:02:09.480,00:02:11.640,3238,3292
43,00:02:11.680,00:02:13.120,3293,3329
44,00:02:13.160,00:02:15.040,3330,3377
45,00:02:15.080,00:02:16.920,3378,3424
46,00:02:16.960,00:02:17.960,3425,3450
47,00:02:18.000,00:02:24.840,3451,3622
