No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.120,1,29
2,00:00:01.160,00:00:02.120,30,54
3,00:00:02.160,00:00:03.800,55,96
4,00:00:03.840,00:00:05.440,97,137
5,00:00:05.480,00:00:06.960,138,175
6,00:00:07.000,00:00:08.720,176,219
7,00:00:08.760,00:00:10.840,220,272
8,00:00:10.880,00:00:12.160,273,305
9,00:00:12.200,00:00:13.520,306,339
10,00:00:13.560,00:00:15.200,340,381
11,00:00:15.240,00:00:18.520,382,464
12,00:00:18.560,00:00:21.520,465,539
13,00:00:21.560,00:00:22.920,540,574
14,00:00:22.960,00:00:24.320,575,609
15,00:00:24.360,00:00:25.720,610,644
16,00:00:25.760,00:00:28.520,645,714
17,00:00:28.560,00:00:29.880,715,748
18,00:00:29.920,00:00:31.280,749,783
19,00:00:31.320,00:00:32.680,784,818
20,00:00:32.720,00:00:33.400,819,836
21,00:00:33.440,00:00:34.280,837,858
22,00:00:34.320,00:00:35.320,859,884
23,00:00:35.360,00:00:37.320,885,934
24,00:00:37.360,00:00:38.800,935,971
25,00:00:38.840,00:00:39.880,972,998
26,00:00:39.920,00:00:41.080,999,1028
27,00:00:41.120,00:00:42.240,1029,1057
28,00:00:42.280,00:00:43.040,1058,1077
29,00:00:43.080,00:00:44.240,1078,1107
30,00:00:44.280,00:00:45.440,1108,1137
31,00:00:45.480,00:00:46.240,1138,1157
32,00:00:46.280,00:00:51.200,1158,1281
33,00:00:51.240,00:00:53.560,1282,1340
34,00:00:53.600,00:00:57.920,1341,1449
35,00:00:57.960,00:01:00.480,1450,1513
36,00:01:00.520,00:01:01.680,1514,1543
37,00:01:01.720,00:01:05.160,1544,1630
38,00:01:05.200,00:01:06.560,1631,1665
39,00:01:06.600,00:01:07.680,1666,1693
40,00:01:07.720,00:01:08.680,1694,1718
41,00:01:08.720,00:01:09.680,1719,1743
42,00:01:09.720,00:01:10.840,1744,1772
43,00:01:10.880,00:01:13.120,1773,1829
44,00:01:13.160,00:01:17.680,1830,1943
45,00:01:17.720,00:01:19.080,1944,1978
46,00:01:19.120,00:01:21.400,1979,2036
47,00:01:21.440,00:01:22.520,2037,2064
48,00:01:22.560,00:01:23.840,2065,2097
49,00:01:23.880,00:01:25.120,2098,2129
50,00:01:25.160,00:01:25.960,2130,2150
51,00:01:26.000,00:01:29.480,2151,2238
52,00:01:29.520,00:01:31.480,2239,2288
53,00:01:31.520,00:01:32.720,2289,2319
54,00:01:32.760,00:01:35.520,2320,2389
55,00:01:35.560,00:01:37.160,2390,2430
56,00:01:37.200,00:01:39.600,2431,2491
57,00:01:39.640,00:01:41.400,2492,2536
58,00:01:41.440,00:01:42.720,2537,2569
59,00:01:42.760,00:01:44.040,2570,2602
60,00:01:44.080,00:01:46.280,2603,2658
61,00:01:46.320,00:01:50.240,2659,2757
62,00:01:50.280,00:01:52.240,2758,2807
63,00:01:52.280,00:01:55.080,2808,2878
64,00:01:55.120,00:01:56.560,2879,2915
65,00:01:56.600,00:01:58.680,2916,2968
66,00:01:58.720,00:02:01.040,2969,3027
67,00:02:01.080,00:02:03.000,3028,3076
68,00:02:03.040,00:02:08.200,3077,3206
69,00:02:08.240,00:02:09.520,3207,3239
70,00:02:09.560,00:02:11.520,3240,3289
71,00:02:11.560,00:02:14.320,3290,3359
72,00:02:14.360,00:02:15.920,3360,3399
73,00:02:15.960,00:02:20.280,3400,3508
74,00:02:20.320,00:02:23.160,3509,3580
75,00:02:23.200,00:02:25.640,3581,3642
76,00:02:25.680,00:02:27.600,3643,3691
77,00:02:27.640,00:02:29.960,3692,3750
78,00:02:30.000,00:02:33.320,3751,3834
79,00:02:33.360,00:02:37.120,3835,3929
80,00:02:37.160,00:02:39.000,3930,3976
81,00:02:39.040,00:02:41.880,3977,4048
82,00:02:41.920,00:02:43.520,4049,4089
83,00:02:43.560,00:02:44.520,4090,4114
84,00:02:44.560,00:02:46.560,4115,4165
85,00:02:46.600,00:02:49.240,4166,4232
86,00:02:49.280,00:02:51.000,4233,4276
87,00:02:51.040,00:02:52.840,4277,4322
88,00:02:52.880,00:02:56.120,4323,4404
89,00:02:56.160,00:02:57.280,4405,4433
90,00:02:57.320,00:03:01.680,4434,4543
91,00:03:01.720,00:03:02.840,4544,4572
92,00:03:02.880,00:03:08.880,4573,4723
