No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:11.600,1,291
2,00:00:11.640,00:00:12.560,292,315
3,00:00:12.600,00:00:12.960,316,325
4,00:00:13.000,00:00:13.400,326,336
5,00:00:13.440,00:00:15.040,337,377
6,00:00:15.080,00:00:18.520,378,464
7,00:00:18.560,00:00:19.760,465,495
8,00:00:19.800,00:00:20.520,496,514
9,00:00:20.560,00:00:22.200,515,556
10,00:00:22.240,00:00:24.000,557,601
11,00:00:24.040,00:00:29.680,602,743
12,00:00:29.720,00:00:33.960,744,850
13,00:00:34.000,00:00:35.240,851,882
14,00:00:35.280,00:00:36.160,883,905
15,00:00:36.200,00:00:39.640,906,992
16,00:00:39.680,00:00:45.240,993,1132
17,00:00:45.280,00:00:49.200,1133,1231
18,00:00:49.240,00:00:50.880,1232,1273
19,00:00:50.920,00:00:53.320,1274,1334
20,00:00:53.360,00:01:00.840,1335,1522
21,00:01:00.880,00:01:04.320,1523,1609
22,00:01:04.360,00:01:05.840,1610,1647
23,00:01:05.880,00:01:06.840,1648,1672
24,00:01:06.880,00:01:07.960,1673,1700
25,00:01:08.000,00:01:09.080,1701,1728
26,00:01:09.120,00:01:11.760,1729,1795
27,00:01:11.800,00:01:14.400,1796,1861
28,00:01:14.440,00:01:18.960,1862,1975
29,00:01:19.000,00:01:23.680,1976,2093
30,00:01:23.720,00:01:25.760,2094,2145
31,00:01:25.800,00:01:25.960,2146,2150
