No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:03.480,1,88
2,00:00:03.520,00:00:06.240,89,157
3,00:00:06.280,00:00:07.920,158,199
4,00:00:07.960,00:00:08.680,200,218
5,00:00:08.720,00:00:11.200,219,281
6,00:00:11.240,00:00:12.360,282,310
7,00:00:12.400,00:00:13.480,311,338
8,00:00:13.520,00:00:15.600,339,391
9,00:00:15.640,00:00:17.000,392,426
10,00:00:17.040,00:00:31.000,427,776
11,00:00:31.040,00:00:33.120,777,829
12,00:00:33.160,00:00:40.440,830,1012
13,00:00:40.480,00:00:43.760,1013,1095
14,00:00:43.800,00:00:46.880,1096,1173
15,00:00:46.920,00:00:52.400,1174,1311
16,00:00:52.440,00:01:07.520,1312,1689
17,00:01:07.560,00:01:09.160,1690,1730
18,00:01:09.200,00:01:13.680,1731,1843
19,00:01:13.720,00:01:18.440,1844,1962
20,00:01:18.480,00:01:21.880,1963,2048
21,00:01:21.920,00:01:23.120,2049,2079
22,00:01:23.160,00:01:24.640,2080,2117
23,00:01:24.680,00:01:26.360,2118,2160
24,00:01:26.400,00:01:28.240,2161,2207
25,00:01:28.280,00:01:29.680,2208,2243
26,00:01:29.720,00:01:32.160,2244,2305
27,00:01:32.200,00:01:38.880,2306,2473
28,00:01:38.920,00:01:41.760,2474,2545
29,00:01:41.800,00:01:43.640,2546,2592
30,00:01:43.680,00:01:46.680,2593,2668
31,00:01:46.720,00:01:47.960,2669,2700
32,00:01:48.000,00:01:50.840,2701,2772
33,00:01:50.880,00:01:51.960,2773,2800
34,00:01:52.000,00:01:53.760,2801,2845
35,00:01:53.800,00:02:00.960,2846,3025
36,00:02:01.000,00:02:03.840,3026,3097
37,00:02:03.880,00:02:07.280,3098,3183
38,00:02:07.320,00:02:17.880,3184,3448
39,00:02:17.920,00:02:18.840,3449,3472
40,00:02:18.880,00:02:22.160,3473,3555
41,00:02:22.200,00:02:25.000,3556,3626
42,00:02:25.040,00:02:27.080,3627,3678
43,00:02:27.120,00:02:30.160,3679,3755
44,00:02:30.200,00:02:32.720,3756,3819
45,00:02:32.760,00:02:35.640,3820,3892
46,00:02:35.680,00:02:37.680,3893,3943
47,00:02:37.720,00:02:39.920,3944,3999
48,00:02:39.960,00:02:42.880,4000,4073
49,00:02:42.920,00:02:45.160,4074,4130
50,00:02:45.200,00:02:47.400,4131,4186
51,00:02:47.440,00:02:49.080,4187,4228
52,00:02:49.120,00:02:52.480,4229,4313
53,00:02:52.520,00:02:56.960,4314,4425
54,00:02:57.000,00:02:59.280,4426,4483
55,00:02:59.320,00:03:01.080,4484,4528
56,00:03:01.120,00:03:03.040,4529,4577
57,00:03:03.080,00:03:04.920,4578,4624
58,00:03:04.960,00:03:07.280,4625,4683
59,00:03:07.320,00:03:09.920,4684,4749
60,00:03:09.960,00:03:13.280,4750,4833
61,00:03:13.320,00:03:14.880,4834,4873
62,00:03:14.920,00:03:17.040,4874,4927
63,00:03:17.080,00:03:19.680,4928,4993
64,00:03:19.720,00:03:21.400,4994,5036
65,00:03:21.440,00:03:26.440,5037,5162
66,00:03:26.480,00:03:37.480,5163,5438
