No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:04.840,1,122
2,00:00:04.880,00:00:07.360,123,185
3,00:00:07.400,00:00:13.160,186,330
4,00:00:13.200,00:00:15.960,331,400
5,00:00:16.000,00:00:22.000,401,551
6,00:00:22.040,00:00:25.760,552,645
7,00:00:25.800,00:00:31.680,646,793
8,00:00:31.720,00:00:34.600,794,866
9,00:00:34.640,00:00:37.880,867,948
10,00:00:37.920,00:00:42.200,949,1056
11,00:00:42.240,00:00:49.840,1057,1247
12,00:00:49.880,00:00:56.480,1248,1413
13,00:00:56.520,00:00:58.960,1414,1475
14,00:00:59.000,00:00:59.880,1476,1498
15,00:00:59.920,00:01:01.480,1499,1538
16,00:01:01.520,00:01:04.320,1539,1609
17,00:01:04.360,00:01:06.760,1610,1670
18,00:01:06.800,00:01:13.920,1671,1849
19,00:01:13.960,00:02:06.360,1850,3160
20,00:02:06.400,00:02:13.160,3161,3330
21,00:02:13.200,00:02:18.160,3331,3455
22,00:02:18.200,00:02:20.480,3456,3513
23,00:02:20.520,00:02:22.480,3514,3563
24,00:02:22.520,00:02:25.080,3564,3628
25,00:02:25.120,00:02:28.880,3629,3723
26,00:02:28.920,00:02:32.840,3724,3822
27,00:02:32.880,00:02:34.480,3823,3863
28,00:02:34.520,00:02:37.480,3864,3938
29,00:02:37.520,00:02:39.120,3939,3979
30,00:02:39.160,00:02:43.240,3980,4082
31,00:02:43.280,00:02:47.360,4083,4185
32,00:02:47.400,00:02:49.400,4186,4236
33,00:02:49.440,00:02:50.840,4237,4272
34,00:02:50.880,00:02:52.120,4273,4304
35,00:02:52.160,00:02:54.880,4305,4373
36,00:02:54.920,00:02:59.760,4374,4495
37,00:02:59.800,00:03:03.280,4496,4583
38,00:03:03.320,00:03:23.120,4584,5079
39,00:03:23.160,00:03:25.440,5080,5137
