No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.080,1,28
2,00:00:01.120,00:00:05.720,29,144
3,00:00:05.760,00:00:10.080,145,253
4,00:00:10.120,00:00:18.240,254,457
5,00:00:18.280,00:00:21.280,458,533
6,00:00:21.320,00:00:26.440,534,662
7,00:00:26.480,00:00:29.360,663,735
8,00:00:29.400,00:00:33.040,736,827
9,00:00:33.080,00:00:35.760,828,895
10,00:00:35.800,00:00:38.400,896,961
11,00:00:38.440,00:00:40.400,962,1011
12,00:00:40.440,00:00:44.160,1012,1105
13,00:00:44.200,00:00:51.760,1106,1295
14,00:00:51.800,00:00:57.240,1296,1432
15,00:00:57.280,00:01:00.720,1433,1519
16,00:01:00.760,00:01:06.800,1520,1671
17,00:01:06.840,00:01:10.360,1672,1760
