No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.800,1,21
2,00:00:00.840,00:00:02.000,22,51
3,00:00:02.040,00:00:02.960,52,75
4,00:00:03.000,00:00:03.760,76,95
5,00:00:03.800,00:00:05.240,96,132
6,00:00:05.280,00:00:07.880,133,198
7,00:00:07.920,00:00:09.320,199,234
8,00:00:09.360,00:00:11.440,235,287
9,00:00:11.480,00:00:16.640,288,417
10,00:00:16.680,00:00:18.720,418,469
11,00:00:18.760,00:00:22.640,470,567
12,00:00:22.680,00:00:25.160,568,630
13,00:00:25.200,00:00:27.240,631,682
14,00:00:27.280,00:00:30.240,683,757
15,00:00:30.280,00:00:31.400,758,786
16,00:00:31.440,00:00:33.200,787,831
17,00:00:33.240,00:00:36.120,832,904
18,00:00:36.160,00:00:39.640,905,992
19,00:00:39.680,00:00:43.920,993,1099
20,00:00:43.960,00:00:46.920,1100,1174
21,00:00:46.960,00:00:50.040,1175,1252
22,00:00:50.080,00:00:54.280,1253,1358
23,00:00:54.320,00:00:58.360,1359,1460
24,00:00:58.400,00:01:01.480,1461,1538
25,00:01:01.520,00:01:03.560,1539,1590
26,00:01:03.600,00:01:06.480,1591,1663
27,00:01:06.520,00:01:08.840,1664,1722
